Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,1.407,0.638
2,R_Trunk_Fwd_Tilt,Kinematics,1.318,0.644
3,R_Trunk_Fwd_Tilt,Kinematics,1.195,0.651
4,R_Trunk_Fwd_Tilt,Kinematics,1.036,0.658
5,R_Trunk_Fwd_Tilt,Kinematics,0.839,0.665
6,R_Trunk_Fwd_Tilt,Kinematics,0.608,0.67
7,R_Trunk_Fwd_Tilt,Kinematics,0.354,0.673
8,R_Trunk_Fwd_Tilt,Kinematics,0.087,0.675
9,R_Trunk_Fwd_Tilt,Kinematics,-0.182,0.675
10,R_Trunk_Fwd_Tilt,Kinematics,-0.439,0.673
11,R_Trunk_Fwd_Tilt,Kinematics,-0.677,0.667
12,R_Trunk_Fwd_Tilt,Kinematics,-0.884,0.66
13,R_Trunk_Fwd_Tilt,Kinematics,-1.055,0.65
14,R_Trunk_Fwd_Tilt,Kinematics,-1.188,0.64
15,R_Trunk_Fwd_Tilt,Kinematics,-1.283,0.628
16,R_Trunk_Fwd_Tilt,Kinematics,-1.338,0.617
17,R_Trunk_Fwd_Tilt,Kinematics,-1.356,0.605
18,R_Trunk_Fwd_Tilt,Kinematics,-1.343,0.594
19,R_Trunk_Fwd_Tilt,Kinematics,-1.298,0.584
20,R_Trunk_Fwd_Tilt,Kinematics,-1.226,0.576
21,R_Trunk_Fwd_Tilt,Kinematics,-1.136,0.569
22,R_Trunk_Fwd_Tilt,Kinematics,-1.033,0.563
23,R_Trunk_Fwd_Tilt,Kinematics,-0.923,0.56
24,R_Trunk_Fwd_Tilt,Kinematics,-0.809,0.56
25,R_Trunk_Fwd_Tilt,Kinematics,-0.695,0.562
26,R_Trunk_Fwd_Tilt,Kinematics,-0.582,0.567
27,R_Trunk_Fwd_Tilt,Kinematics,-0.467,0.574
28,R_Trunk_Fwd_Tilt,Kinematics,-0.35,0.582
29,R_Trunk_Fwd_Tilt,Kinematics,-0.226,0.591
30,R_Trunk_Fwd_Tilt,Kinematics,-0.093,0.599
31,R_Trunk_Fwd_Tilt,Kinematics,0.052,0.606
32,R_Trunk_Fwd_Tilt,Kinematics,0.206,0.611
33,R_Trunk_Fwd_Tilt,Kinematics,0.37,0.614
34,R_Trunk_Fwd_Tilt,Kinematics,0.541,0.615
35,R_Trunk_Fwd_Tilt,Kinematics,0.716,0.615
36,R_Trunk_Fwd_Tilt,Kinematics,0.893,0.612
37,R_Trunk_Fwd_Tilt,Kinematics,1.07,0.608
38,R_Trunk_Fwd_Tilt,Kinematics,1.244,0.603
39,R_Trunk_Fwd_Tilt,Kinematics,1.414,0.596
40,R_Trunk_Fwd_Tilt,Kinematics,1.573,0.588
41,R_Trunk_Fwd_Tilt,Kinematics,1.72,0.578
42,R_Trunk_Fwd_Tilt,Kinematics,1.852,0.564
43,R_Trunk_Fwd_Tilt,Kinematics,1.967,0.545
44,R_Trunk_Fwd_Tilt,Kinematics,2.061,0.523
45,R_Trunk_Fwd_Tilt,Kinematics,2.135,0.497
46,R_Trunk_Fwd_Tilt,Kinematics,2.187,0.47
47,R_Trunk_Fwd_Tilt,Kinematics,2.218,0.442
48,R_Trunk_Fwd_Tilt,Kinematics,2.226,0.414
49,R_Trunk_Fwd_Tilt,Kinematics,2.209,0.386
50,R_Trunk_Fwd_Tilt,Kinematics,2.164,0.358
51,R_Trunk_Fwd_Tilt,Kinematics,2.084,0.328
52,R_Trunk_Fwd_Tilt,Kinematics,1.962,0.297
53,R_Trunk_Fwd_Tilt,Kinematics,1.795,0.265
54,R_Trunk_Fwd_Tilt,Kinematics,1.584,0.235
55,R_Trunk_Fwd_Tilt,Kinematics,1.328,0.21
56,R_Trunk_Fwd_Tilt,Kinematics,1.037,0.193
57,R_Trunk_Fwd_Tilt,Kinematics,0.723,0.187
58,R_Trunk_Fwd_Tilt,Kinematics,0.397,0.191
59,R_Trunk_Fwd_Tilt,Kinematics,0.075,0.203
60,R_Trunk_Fwd_Tilt,Kinematics,-0.229,0.221
61,R_Trunk_Fwd_Tilt,Kinematics,-0.506,0.244
62,R_Trunk_Fwd_Tilt,Kinematics,-0.745,0.269
63,R_Trunk_Fwd_Tilt,Kinematics,-0.944,0.297
64,R_Trunk_Fwd_Tilt,Kinematics,-1.103,0.327
65,R_Trunk_Fwd_Tilt,Kinematics,-1.224,0.358
66,R_Trunk_Fwd_Tilt,Kinematics,-1.306,0.388
67,R_Trunk_Fwd_Tilt,Kinematics,-1.352,0.416
68,R_Trunk_Fwd_Tilt,Kinematics,-1.366,0.441
69,R_Trunk_Fwd_Tilt,Kinematics,-1.352,0.463
70,R_Trunk_Fwd_Tilt,Kinematics,-1.312,0.481
71,R_Trunk_Fwd_Tilt,Kinematics,-1.255,0.494
72,R_Trunk_Fwd_Tilt,Kinematics,-1.185,0.504
73,R_Trunk_Fwd_Tilt,Kinematics,-1.108,0.51
74,R_Trunk_Fwd_Tilt,Kinematics,-1.025,0.515
75,R_Trunk_Fwd_Tilt,Kinematics,-0.94,0.52
76,R_Trunk_Fwd_Tilt,Kinematics,-0.851,0.524
77,R_Trunk_Fwd_Tilt,Kinematics,-0.76,0.526
78,R_Trunk_Fwd_Tilt,Kinematics,-0.663,0.527
79,R_Trunk_Fwd_Tilt,Kinematics,-0.561,0.526
80,R_Trunk_Fwd_Tilt,Kinematics,-0.451,0.522
81,R_Trunk_Fwd_Tilt,Kinematics,-0.332,0.517
82,R_Trunk_Fwd_Tilt,Kinematics,-0.204,0.509
83,R_Trunk_Fwd_Tilt,Kinematics,-0.067,0.499
84,R_Trunk_Fwd_Tilt,Kinematics,0.079,0.487
85,R_Trunk_Fwd_Tilt,Kinematics,0.231,0.476
86,R_Trunk_Fwd_Tilt,Kinematics,0.386,0.464
87,R_Trunk_Fwd_Tilt,Kinematics,0.544,0.453
88,R_Trunk_Fwd_Tilt,Kinematics,0.698,0.439
89,R_Trunk_Fwd_Tilt,Kinematics,0.845,0.423
90,R_Trunk_Fwd_Tilt,Kinematics,0.981,0.404
91,R_Trunk_Fwd_Tilt,Kinematics,1.102,0.382
92,R_Trunk_Fwd_Tilt,Kinematics,1.207,0.358
93,R_Trunk_Fwd_Tilt,Kinematics,1.298,0.335
94,R_Trunk_Fwd_Tilt,Kinematics,1.373,0.313
95,R_Trunk_Fwd_Tilt,Kinematics,1.433,0.293
96,R_Trunk_Fwd_Tilt,Kinematics,1.476,0.276
97,R_Trunk_Fwd_Tilt,Kinematics,1.502,0.262
98,R_Trunk_Fwd_Tilt,Kinematics,1.508,0.248
99,R_Trunk_Fwd_Tilt,Kinematics,1.494,0.236
100,R_Trunk_Fwd_Tilt,Kinematics,1.458,0.226
1,R_Trunk_Lat_Tilt,Kinematics,-0.542,0.506
2,R_Trunk_Lat_Tilt,Kinematics,-0.593,0.508
3,R_Trunk_Lat_Tilt,Kinematics,-0.632,0.509
4,R_Trunk_Lat_Tilt,Kinematics,-0.656,0.51
5,R_Trunk_Lat_Tilt,Kinematics,-0.661,0.51
6,R_Trunk_Lat_Tilt,Kinematics,-0.648,0.512
7,R_Trunk_Lat_Tilt,Kinematics,-0.621,0.515
8,R_Trunk_Lat_Tilt,Kinematics,-0.582,0.519
9,R_Trunk_Lat_Tilt,Kinematics,-0.536,0.524
10,R_Trunk_Lat_Tilt,Kinematics,-0.484,0.528
11,R_Trunk_Lat_Tilt,Kinematics,-0.431,0.531
12,R_Trunk_Lat_Tilt,Kinematics,-0.377,0.534
13,R_Trunk_Lat_Tilt,Kinematics,-0.327,0.537
14,R_Trunk_Lat_Tilt,Kinematics,-0.283,0.541
15,R_Trunk_Lat_Tilt,Kinematics,-0.249,0.548
16,R_Trunk_Lat_Tilt,Kinematics,-0.23,0.557
17,R_Trunk_Lat_Tilt,Kinematics,-0.224,0.569
18,R_Trunk_Lat_Tilt,Kinematics,-0.23,0.584
19,R_Trunk_Lat_Tilt,Kinematics,-0.246,0.601
20,R_Trunk_Lat_Tilt,Kinematics,-0.266,0.619
21,R_Trunk_Lat_Tilt,Kinematics,-0.285,0.637
22,R_Trunk_Lat_Tilt,Kinematics,-0.3,0.652
23,R_Trunk_Lat_Tilt,Kinematics,-0.31,0.665
24,R_Trunk_Lat_Tilt,Kinematics,-0.315,0.676
25,R_Trunk_Lat_Tilt,Kinematics,-0.315,0.683
26,R_Trunk_Lat_Tilt,Kinematics,-0.313,0.688
27,R_Trunk_Lat_Tilt,Kinematics,-0.31,0.692
28,R_Trunk_Lat_Tilt,Kinematics,-0.309,0.695
29,R_Trunk_Lat_Tilt,Kinematics,-0.312,0.696
30,R_Trunk_Lat_Tilt,Kinematics,-0.319,0.696
31,R_Trunk_Lat_Tilt,Kinematics,-0.33,0.694
32,R_Trunk_Lat_Tilt,Kinematics,-0.346,0.69
33,R_Trunk_Lat_Tilt,Kinematics,-0.365,0.684
34,R_Trunk_Lat_Tilt,Kinematics,-0.388,0.677
35,R_Trunk_Lat_Tilt,Kinematics,-0.414,0.668
36,R_Trunk_Lat_Tilt,Kinematics,-0.444,0.657
37,R_Trunk_Lat_Tilt,Kinematics,-0.476,0.644
38,R_Trunk_Lat_Tilt,Kinematics,-0.509,0.63
39,R_Trunk_Lat_Tilt,Kinematics,-0.541,0.614
40,R_Trunk_Lat_Tilt,Kinematics,-0.571,0.597
41,R_Trunk_Lat_Tilt,Kinematics,-0.596,0.581
42,R_Trunk_Lat_Tilt,Kinematics,-0.613,0.565
43,R_Trunk_Lat_Tilt,Kinematics,-0.621,0.549
44,R_Trunk_Lat_Tilt,Kinematics,-0.617,0.534
45,R_Trunk_Lat_Tilt,Kinematics,-0.599,0.52
46,R_Trunk_Lat_Tilt,Kinematics,-0.564,0.506
47,R_Trunk_Lat_Tilt,Kinematics,-0.512,0.493
48,R_Trunk_Lat_Tilt,Kinematics,-0.442,0.482
49,R_Trunk_Lat_Tilt,Kinematics,-0.36,0.47
50,R_Trunk_Lat_Tilt,Kinematics,-0.275,0.46
51,R_Trunk_Lat_Tilt,Kinematics,-0.194,0.451
52,R_Trunk_Lat_Tilt,Kinematics,-0.126,0.443
53,R_Trunk_Lat_Tilt,Kinematics,-0.079,0.437
54,R_Trunk_Lat_Tilt,Kinematics,-0.052,0.434
55,R_Trunk_Lat_Tilt,Kinematics,-0.047,0.433
56,R_Trunk_Lat_Tilt,Kinematics,-0.059,0.433
57,R_Trunk_Lat_Tilt,Kinematics,-0.081,0.435
58,R_Trunk_Lat_Tilt,Kinematics,-0.11,0.438
59,R_Trunk_Lat_Tilt,Kinematics,-0.141,0.443
60,R_Trunk_Lat_Tilt,Kinematics,-0.17,0.449
61,R_Trunk_Lat_Tilt,Kinematics,-0.198,0.457
62,R_Trunk_Lat_Tilt,Kinematics,-0.223,0.467
63,R_Trunk_Lat_Tilt,Kinematics,-0.243,0.478
64,R_Trunk_Lat_Tilt,Kinematics,-0.258,0.489
65,R_Trunk_Lat_Tilt,Kinematics,-0.263,0.499
66,R_Trunk_Lat_Tilt,Kinematics,-0.259,0.506
67,R_Trunk_Lat_Tilt,Kinematics,-0.243,0.51
68,R_Trunk_Lat_Tilt,Kinematics,-0.219,0.511
69,R_Trunk_Lat_Tilt,Kinematics,-0.188,0.51
70,R_Trunk_Lat_Tilt,Kinematics,-0.157,0.508
71,R_Trunk_Lat_Tilt,Kinematics,-0.13,0.504
72,R_Trunk_Lat_Tilt,Kinematics,-0.112,0.501
73,R_Trunk_Lat_Tilt,Kinematics,-0.107,0.498
74,R_Trunk_Lat_Tilt,Kinematics,-0.117,0.495
75,R_Trunk_Lat_Tilt,Kinematics,-0.137,0.491
76,R_Trunk_Lat_Tilt,Kinematics,-0.164,0.488
77,R_Trunk_Lat_Tilt,Kinematics,-0.193,0.485
78,R_Trunk_Lat_Tilt,Kinematics,-0.218,0.484
79,R_Trunk_Lat_Tilt,Kinematics,-0.237,0.483
80,R_Trunk_Lat_Tilt,Kinematics,-0.249,0.483
81,R_Trunk_Lat_Tilt,Kinematics,-0.253,0.484
82,R_Trunk_Lat_Tilt,Kinematics,-0.249,0.485
83,R_Trunk_Lat_Tilt,Kinematics,-0.238,0.485
84,R_Trunk_Lat_Tilt,Kinematics,-0.22,0.482
85,R_Trunk_Lat_Tilt,Kinematics,-0.198,0.477
86,R_Trunk_Lat_Tilt,Kinematics,-0.173,0.47
87,R_Trunk_Lat_Tilt,Kinematics,-0.144,0.46
88,R_Trunk_Lat_Tilt,Kinematics,-0.113,0.45
89,R_Trunk_Lat_Tilt,Kinematics,-0.078,0.44
90,R_Trunk_Lat_Tilt,Kinematics,-0.039,0.434
91,R_Trunk_Lat_Tilt,Kinematics,0,0.43
92,R_Trunk_Lat_Tilt,Kinematics,0.036,0.431
93,R_Trunk_Lat_Tilt,Kinematics,0.066,0.434
94,R_Trunk_Lat_Tilt,Kinematics,0.084,0.439
95,R_Trunk_Lat_Tilt,Kinematics,0.09,0.446
96,R_Trunk_Lat_Tilt,Kinematics,0.081,0.452
97,R_Trunk_Lat_Tilt,Kinematics,0.057,0.457
98,R_Trunk_Lat_Tilt,Kinematics,0.021,0.459
99,R_Trunk_Lat_Tilt,Kinematics,-0.024,0.46
100,R_Trunk_Lat_Tilt,Kinematics,-0.075,0.459
1,R_Pelvis_Fwd_Tilt,Kinematics,3.951,0.911
2,R_Pelvis_Fwd_Tilt,Kinematics,3.873,0.913
3,R_Pelvis_Fwd_Tilt,Kinematics,3.779,0.914
4,R_Pelvis_Fwd_Tilt,Kinematics,3.664,0.914
5,R_Pelvis_Fwd_Tilt,Kinematics,3.519,0.91
6,R_Pelvis_Fwd_Tilt,Kinematics,3.343,0.903
7,R_Pelvis_Fwd_Tilt,Kinematics,3.136,0.891
8,R_Pelvis_Fwd_Tilt,Kinematics,2.906,0.873
9,R_Pelvis_Fwd_Tilt,Kinematics,2.659,0.851
10,R_Pelvis_Fwd_Tilt,Kinematics,2.411,0.825
11,R_Pelvis_Fwd_Tilt,Kinematics,2.171,0.799
12,R_Pelvis_Fwd_Tilt,Kinematics,1.952,0.774
13,R_Pelvis_Fwd_Tilt,Kinematics,1.76,0.753
14,R_Pelvis_Fwd_Tilt,Kinematics,1.596,0.734
15,R_Pelvis_Fwd_Tilt,Kinematics,1.463,0.719
16,R_Pelvis_Fwd_Tilt,Kinematics,1.365,0.708
17,R_Pelvis_Fwd_Tilt,Kinematics,1.303,0.7
18,R_Pelvis_Fwd_Tilt,Kinematics,1.281,0.696
19,R_Pelvis_Fwd_Tilt,Kinematics,1.306,0.694
20,R_Pelvis_Fwd_Tilt,Kinematics,1.377,0.696
21,R_Pelvis_Fwd_Tilt,Kinematics,1.487,0.701
22,R_Pelvis_Fwd_Tilt,Kinematics,1.626,0.71
23,R_Pelvis_Fwd_Tilt,Kinematics,1.78,0.721
24,R_Pelvis_Fwd_Tilt,Kinematics,1.934,0.733
25,R_Pelvis_Fwd_Tilt,Kinematics,2.076,0.745
26,R_Pelvis_Fwd_Tilt,Kinematics,2.2,0.756
27,R_Pelvis_Fwd_Tilt,Kinematics,2.305,0.766
28,R_Pelvis_Fwd_Tilt,Kinematics,2.396,0.771
29,R_Pelvis_Fwd_Tilt,Kinematics,2.477,0.77
30,R_Pelvis_Fwd_Tilt,Kinematics,2.555,0.761
31,R_Pelvis_Fwd_Tilt,Kinematics,2.635,0.745
32,R_Pelvis_Fwd_Tilt,Kinematics,2.719,0.723
33,R_Pelvis_Fwd_Tilt,Kinematics,2.807,0.698
34,R_Pelvis_Fwd_Tilt,Kinematics,2.901,0.67
35,R_Pelvis_Fwd_Tilt,Kinematics,2.998,0.643
36,R_Pelvis_Fwd_Tilt,Kinematics,3.101,0.618
37,R_Pelvis_Fwd_Tilt,Kinematics,3.21,0.597
38,R_Pelvis_Fwd_Tilt,Kinematics,3.327,0.581
39,R_Pelvis_Fwd_Tilt,Kinematics,3.452,0.57
40,R_Pelvis_Fwd_Tilt,Kinematics,3.584,0.564
41,R_Pelvis_Fwd_Tilt,Kinematics,3.718,0.56
42,R_Pelvis_Fwd_Tilt,Kinematics,3.851,0.555
43,R_Pelvis_Fwd_Tilt,Kinematics,3.976,0.55
44,R_Pelvis_Fwd_Tilt,Kinematics,4.088,0.544
45,R_Pelvis_Fwd_Tilt,Kinematics,4.181,0.54
46,R_Pelvis_Fwd_Tilt,Kinematics,4.253,0.538
47,R_Pelvis_Fwd_Tilt,Kinematics,4.305,0.535
48,R_Pelvis_Fwd_Tilt,Kinematics,4.339,0.526
49,R_Pelvis_Fwd_Tilt,Kinematics,4.356,0.51
50,R_Pelvis_Fwd_Tilt,Kinematics,4.35,0.484
51,R_Pelvis_Fwd_Tilt,Kinematics,4.316,0.452
52,R_Pelvis_Fwd_Tilt,Kinematics,4.244,0.421
53,R_Pelvis_Fwd_Tilt,Kinematics,4.125,0.397
54,R_Pelvis_Fwd_Tilt,Kinematics,3.962,0.386
55,R_Pelvis_Fwd_Tilt,Kinematics,3.756,0.395
56,R_Pelvis_Fwd_Tilt,Kinematics,3.518,0.416
57,R_Pelvis_Fwd_Tilt,Kinematics,3.259,0.446
58,R_Pelvis_Fwd_Tilt,Kinematics,2.991,0.479
59,R_Pelvis_Fwd_Tilt,Kinematics,2.724,0.513
60,R_Pelvis_Fwd_Tilt,Kinematics,2.465,0.543
61,R_Pelvis_Fwd_Tilt,Kinematics,2.217,0.567
62,R_Pelvis_Fwd_Tilt,Kinematics,1.979,0.585
63,R_Pelvis_Fwd_Tilt,Kinematics,1.75,0.593
64,R_Pelvis_Fwd_Tilt,Kinematics,1.528,0.593
65,R_Pelvis_Fwd_Tilt,Kinematics,1.314,0.588
66,R_Pelvis_Fwd_Tilt,Kinematics,1.117,0.581
67,R_Pelvis_Fwd_Tilt,Kinematics,0.947,0.575
68,R_Pelvis_Fwd_Tilt,Kinematics,0.815,0.575
69,R_Pelvis_Fwd_Tilt,Kinematics,0.73,0.581
70,R_Pelvis_Fwd_Tilt,Kinematics,0.702,0.595
71,R_Pelvis_Fwd_Tilt,Kinematics,0.725,0.615
72,R_Pelvis_Fwd_Tilt,Kinematics,0.795,0.641
73,R_Pelvis_Fwd_Tilt,Kinematics,0.905,0.67
74,R_Pelvis_Fwd_Tilt,Kinematics,1.047,0.7
75,R_Pelvis_Fwd_Tilt,Kinematics,1.21,0.73
76,R_Pelvis_Fwd_Tilt,Kinematics,1.385,0.757
77,R_Pelvis_Fwd_Tilt,Kinematics,1.559,0.779
78,R_Pelvis_Fwd_Tilt,Kinematics,1.724,0.795
