Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,3.66,0.835
2,R_Trunk_Fwd_Tilt,Kinematics,3.551,0.861
3,R_Trunk_Fwd_Tilt,Kinematics,3.419,0.886
4,R_Trunk_Fwd_Tilt,Kinematics,3.27,0.909
5,R_Trunk_Fwd_Tilt,Kinematics,3.108,0.929
6,R_Trunk_Fwd_Tilt,Kinematics,2.944,0.946
7,R_Trunk_Fwd_Tilt,Kinematics,2.789,0.961
8,R_Trunk_Fwd_Tilt,Kinematics,2.654,0.974
9,R_Trunk_Fwd_Tilt,Kinematics,2.549,0.985
10,R_Trunk_Fwd_Tilt,Kinematics,2.479,0.994
11,R_Trunk_Fwd_Tilt,Kinematics,2.448,1.001
12,R_Trunk_Fwd_Tilt,Kinematics,2.456,1.006
13,R_Trunk_Fwd_Tilt,Kinematics,2.498,1.009
14,R_Trunk_Fwd_Tilt,Kinematics,2.57,1.01
15,R_Trunk_Fwd_Tilt,Kinematics,2.666,1.009
16,R_Trunk_Fwd_Tilt,Kinematics,2.775,1.006
17,R_Trunk_Fwd_Tilt,Kinematics,2.888,1.003
18,R_Trunk_Fwd_Tilt,Kinematics,2.998,0.998
19,R_Trunk_Fwd_Tilt,Kinematics,3.099,0.994
20,R_Trunk_Fwd_Tilt,Kinematics,3.185,0.989
21,R_Trunk_Fwd_Tilt,Kinematics,3.253,0.983
22,R_Trunk_Fwd_Tilt,Kinematics,3.303,0.976
23,R_Trunk_Fwd_Tilt,Kinematics,3.338,0.967
24,R_Trunk_Fwd_Tilt,Kinematics,3.359,0.955
25,R_Trunk_Fwd_Tilt,Kinematics,3.373,0.942
26,R_Trunk_Fwd_Tilt,Kinematics,3.383,0.927
27,R_Trunk_Fwd_Tilt,Kinematics,3.392,0.912
28,R_Trunk_Fwd_Tilt,Kinematics,3.406,0.896
29,R_Trunk_Fwd_Tilt,Kinematics,3.427,0.882
30,R_Trunk_Fwd_Tilt,Kinematics,3.455,0.87
31,R_Trunk_Fwd_Tilt,Kinematics,3.491,0.859
32,R_Trunk_Fwd_Tilt,Kinematics,3.535,0.851
33,R_Trunk_Fwd_Tilt,Kinematics,3.584,0.845
34,R_Trunk_Fwd_Tilt,Kinematics,3.638,0.84
35,R_Trunk_Fwd_Tilt,Kinematics,3.694,0.836
36,R_Trunk_Fwd_Tilt,Kinematics,3.75,0.832
37,R_Trunk_Fwd_Tilt,Kinematics,3.805,0.827
38,R_Trunk_Fwd_Tilt,Kinematics,3.856,0.822
39,R_Trunk_Fwd_Tilt,Kinematics,3.901,0.816
40,R_Trunk_Fwd_Tilt,Kinematics,3.94,0.81
41,R_Trunk_Fwd_Tilt,Kinematics,3.972,0.803
42,R_Trunk_Fwd_Tilt,Kinematics,3.997,0.798
43,R_Trunk_Fwd_Tilt,Kinematics,4.016,0.793
44,R_Trunk_Fwd_Tilt,Kinematics,4.03,0.789
45,R_Trunk_Fwd_Tilt,Kinematics,4.039,0.785
46,R_Trunk_Fwd_Tilt,Kinematics,4.041,0.781
47,R_Trunk_Fwd_Tilt,Kinematics,4.036,0.776
48,R_Trunk_Fwd_Tilt,Kinematics,4.021,0.773
49,R_Trunk_Fwd_Tilt,Kinematics,3.99,0.771
50,R_Trunk_Fwd_Tilt,Kinematics,3.94,0.772
51,R_Trunk_Fwd_Tilt,Kinematics,3.866,0.775
52,R_Trunk_Fwd_Tilt,Kinematics,3.766,0.783
53,R_Trunk_Fwd_Tilt,Kinematics,3.639,0.794
54,R_Trunk_Fwd_Tilt,Kinematics,3.49,0.807
55,R_Trunk_Fwd_Tilt,Kinematics,3.325,0.823
56,R_Trunk_Fwd_Tilt,Kinematics,3.153,0.84
57,R_Trunk_Fwd_Tilt,Kinematics,2.985,0.857
58,R_Trunk_Fwd_Tilt,Kinematics,2.834,0.873
59,R_Trunk_Fwd_Tilt,Kinematics,2.709,0.888
60,R_Trunk_Fwd_Tilt,Kinematics,2.616,0.901
61,R_Trunk_Fwd_Tilt,Kinematics,2.56,0.913
62,R_Trunk_Fwd_Tilt,Kinematics,2.539,0.924
63,R_Trunk_Fwd_Tilt,Kinematics,2.551,0.934
64,R_Trunk_Fwd_Tilt,Kinematics,2.591,0.942
65,R_Trunk_Fwd_Tilt,Kinematics,2.651,0.947
66,R_Trunk_Fwd_Tilt,Kinematics,2.723,0.951
67,R_Trunk_Fwd_Tilt,Kinematics,2.801,0.951
68,R_Trunk_Fwd_Tilt,Kinematics,2.877,0.95
69,R_Trunk_Fwd_Tilt,Kinematics,2.944,0.948
70,R_Trunk_Fwd_Tilt,Kinematics,2.999,0.947
71,R_Trunk_Fwd_Tilt,Kinematics,3.041,0.945
72,R_Trunk_Fwd_Tilt,Kinematics,3.071,0.944
73,R_Trunk_Fwd_Tilt,Kinematics,3.09,0.943
74,R_Trunk_Fwd_Tilt,Kinematics,3.101,0.943
75,R_Trunk_Fwd_Tilt,Kinematics,3.107,0.943
76,R_Trunk_Fwd_Tilt,Kinematics,3.113,0.943
77,R_Trunk_Fwd_Tilt,Kinematics,3.121,0.941
78,R_Trunk_Fwd_Tilt,Kinematics,3.135,0.937
79,R_Trunk_Fwd_Tilt,Kinematics,3.155,0.932
80,R_Trunk_Fwd_Tilt,Kinematics,3.182,0.926
81,R_Trunk_Fwd_Tilt,Kinematics,3.215,0.918
82,R_Trunk_Fwd_Tilt,Kinematics,3.255,0.91
83,R_Trunk_Fwd_Tilt,Kinematics,3.298,0.902
84,R_Trunk_Fwd_Tilt,Kinematics,3.344,0.893
85,R_Trunk_Fwd_Tilt,Kinematics,3.39,0.885
86,R_Trunk_Fwd_Tilt,Kinematics,3.434,0.877
87,R_Trunk_Fwd_Tilt,Kinematics,3.474,0.87
88,R_Trunk_Fwd_Tilt,Kinematics,3.508,0.863
