Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,1.936,0.508
2,R_Trunk_Fwd_Tilt,Kinematics,1.879,0.524
3,R_Trunk_Fwd_Tilt,Kinematics,1.799,0.54
4,R_Trunk_Fwd_Tilt,Kinematics,1.693,0.555
5,R_Trunk_Fwd_Tilt,Kinematics,1.552,0.568
6,R_Trunk_Fwd_Tilt,Kinematics,1.403,0.582
7,R_Trunk_Fwd_Tilt,Kinematics,1.247,0.596
8,R_Trunk_Fwd_Tilt,Kinematics,1.107,0.615
9,R_Trunk_Fwd_Tilt,Kinematics,0.984,0.639
10,R_Trunk_Fwd_Tilt,Kinematics,0.89,0.662
11,R_Trunk_Fwd_Tilt,Kinematics,0.843,0.694
12,R_Trunk_Fwd_Tilt,Kinematics,0.826,0.725
13,R_Trunk_Fwd_Tilt,Kinematics,0.844,0.754
14,R_Trunk_Fwd_Tilt,Kinematics,0.893,0.784
15,R_Trunk_Fwd_Tilt,Kinematics,0.957,0.808
16,R_Trunk_Fwd_Tilt,Kinematics,1.03,0.827
17,R_Trunk_Fwd_Tilt,Kinematics,1.099,0.838
18,R_Trunk_Fwd_Tilt,Kinematics,1.158,0.843
19,R_Trunk_Fwd_Tilt,Kinematics,1.203,0.841
20,R_Trunk_Fwd_Tilt,Kinematics,1.223,0.832
21,R_Trunk_Fwd_Tilt,Kinematics,1.226,0.823
22,R_Trunk_Fwd_Tilt,Kinematics,1.211,0.812
23,R_Trunk_Fwd_Tilt,Kinematics,1.175,0.798
24,R_Trunk_Fwd_Tilt,Kinematics,1.129,0.786
25,R_Trunk_Fwd_Tilt,Kinematics,1.073,0.775
26,R_Trunk_Fwd_Tilt,Kinematics,1.013,0.761
27,R_Trunk_Fwd_Tilt,Kinematics,0.954,0.747
28,R_Trunk_Fwd_Tilt,Kinematics,0.899,0.732
29,R_Trunk_Fwd_Tilt,Kinematics,0.852,0.717
30,R_Trunk_Fwd_Tilt,Kinematics,0.813,0.699
31,R_Trunk_Fwd_Tilt,Kinematics,0.788,0.68
32,R_Trunk_Fwd_Tilt,Kinematics,0.782,0.666
33,R_Trunk_Fwd_Tilt,Kinematics,0.798,0.645
34,R_Trunk_Fwd_Tilt,Kinematics,0.84,0.625
35,R_Trunk_Fwd_Tilt,Kinematics,0.908,0.608
36,R_Trunk_Fwd_Tilt,Kinematics,0.997,0.583
37,R_Trunk_Fwd_Tilt,Kinematics,1.102,0.559
38,R_Trunk_Fwd_Tilt,Kinematics,1.22,0.536
39,R_Trunk_Fwd_Tilt,Kinematics,1.344,0.511
40,R_Trunk_Fwd_Tilt,Kinematics,1.471,0.49
41,R_Trunk_Fwd_Tilt,Kinematics,1.599,0.473
42,R_Trunk_Fwd_Tilt,Kinematics,1.724,0.462
43,R_Trunk_Fwd_Tilt,Kinematics,1.848,0.459
44,R_Trunk_Fwd_Tilt,Kinematics,1.962,0.459
45,R_Trunk_Fwd_Tilt,Kinematics,2.064,0.466
46,R_Trunk_Fwd_Tilt,Kinematics,2.153,0.476
47,R_Trunk_Fwd_Tilt,Kinematics,2.22,0.484
48,R_Trunk_Fwd_Tilt,Kinematics,2.265,0.493
49,R_Trunk_Fwd_Tilt,Kinematics,2.287,0.501
50,R_Trunk_Fwd_Tilt,Kinematics,2.277,0.501
51,R_Trunk_Fwd_Tilt,Kinematics,2.237,0.502
52,R_Trunk_Fwd_Tilt,Kinematics,2.167,0.502
53,R_Trunk_Fwd_Tilt,Kinematics,2.057,0.504
54,R_Trunk_Fwd_Tilt,Kinematics,1.919,0.507
55,R_Trunk_Fwd_Tilt,Kinematics,1.756,0.51
56,R_Trunk_Fwd_Tilt,Kinematics,1.575,0.516
57,R_Trunk_Fwd_Tilt,Kinematics,1.388,0.522
58,R_Trunk_Fwd_Tilt,Kinematics,1.204,0.526
59,R_Trunk_Fwd_Tilt,Kinematics,1.039,0.538
60,R_Trunk_Fwd_Tilt,Kinematics,0.894,0.554
61,R_Trunk_Fwd_Tilt,Kinematics,0.776,0.576
62,R_Trunk_Fwd_Tilt,Kinematics,0.688,0.603
63,R_Trunk_Fwd_Tilt,Kinematics,0.629,0.634
64,R_Trunk_Fwd_Tilt,Kinematics,0.597,0.661
65,R_Trunk_Fwd_Tilt,Kinematics,0.583,0.683
66,R_Trunk_Fwd_Tilt,Kinematics,0.588,0.701
67,R_Trunk_Fwd_Tilt,Kinematics,0.602,0.712
68,R_Trunk_Fwd_Tilt,Kinematics,0.619,0.717
69,R_Trunk_Fwd_Tilt,Kinematics,0.636,0.719
70,R_Trunk_Fwd_Tilt,Kinematics,0.651,0.718
71,R_Trunk_Fwd_Tilt,Kinematics,0.66,0.713
72,R_Trunk_Fwd_Tilt,Kinematics,0.66,0.704
73,R_Trunk_Fwd_Tilt,Kinematics,0.652,0.693
74,R_Trunk_Fwd_Tilt,Kinematics,0.628,0.68
75,R_Trunk_Fwd_Tilt,Kinematics,0.591,0.666
76,R_Trunk_Fwd_Tilt,Kinematics,0.543,0.654
77,R_Trunk_Fwd_Tilt,Kinematics,0.481,0.642
78,R_Trunk_Fwd_Tilt,Kinematics,0.415,0.63
79,R_Trunk_Fwd_Tilt,Kinematics,0.347,0.62
80,R_Trunk_Fwd_Tilt,Kinematics,0.288,0.608
81,R_Trunk_Fwd_Tilt,Kinematics,0.241,0.596
82,R_Trunk_Fwd_Tilt,Kinematics,0.209,0.584
83,R_Trunk_Fwd_Tilt,Kinematics,0.203,0.572
84,R_Trunk_Fwd_Tilt,Kinematics,0.221,0.561
85,R_Trunk_Fwd_Tilt,Kinematics,0.26,0.551
86,R_Trunk_Fwd_Tilt,Kinematics,0.33,0.544
87,R_Trunk_Fwd_Tilt,Kinematics,0.42,0.537
88,R_Trunk_Fwd_Tilt,Kinematics,0.527,0.532
89,R_Trunk_Fwd_Tilt,Kinematics,0.649,0.532
90,R_Trunk_Fwd_Tilt,Kinematics,0.778,0.535
91,R_Trunk_Fwd_Tilt,Kinematics,0.91,0.542
92,R_Trunk_Fwd_Tilt,Kinematics,1.035,0.554
93,R_Trunk_Fwd_Tilt,Kinematics,1.154,0.566
94,R_Trunk_Fwd_Tilt,Kinematics,1.264,0.578
95,R_Trunk_Fwd_Tilt,Kinematics,1.356,0.584
96,R_Trunk_Fwd_Tilt,Kinematics,1.435,0.586
97,R_Trunk_Fwd_Tilt,Kinematics,1.502,0.585
98,R_Trunk_Fwd_Tilt,Kinematics,1.541,0.578
99,R_Trunk_Fwd_Tilt,Kinematics,1.56,0.571
100,R_Trunk_Fwd_Tilt,Kinematics,1.562,0.564
1,R_Trunk_Lat_Tilt,Kinematics,-0.456,0.42
2,R_Trunk_Lat_Tilt,Kinematics,-0.531,0.42
3,R_Trunk_Lat_Tilt,Kinematics,-0.601,0.419
4,R_Trunk_Lat_Tilt,Kinematics,-0.663,0.417
5,R_Trunk_Lat_Tilt,Kinematics,-0.722,0.412
6,R_Trunk_Lat_Tilt,Kinematics,-0.781,0.406
7,R_Trunk_Lat_Tilt,Kinematics,-0.84,0.398
8,R_Trunk_Lat_Tilt,Kinematics,-0.898,0.386
9,R_Trunk_Lat_Tilt,Kinematics,-0.948,0.372
10,R_Trunk_Lat_Tilt,Kinematics,-0.988,0.354
11,R_Trunk_Lat_Tilt,Kinematics,-0.999,0.332
12,R_Trunk_Lat_Tilt,Kinematics,-0.989,0.31
13,R_Trunk_Lat_Tilt,Kinematics,-0.95,0.29
14,R_Trunk_Lat_Tilt,Kinematics,-0.879,0.271
15,R_Trunk_Lat_Tilt,Kinematics,-0.789,0.257
16,R_Trunk_Lat_Tilt,Kinematics,-0.683,0.245
17,R_Trunk_Lat_Tilt,Kinematics,-0.573,0.24
18,R_Trunk_Lat_Tilt,Kinematics,-0.467,0.24
19,R_Trunk_Lat_Tilt,Kinematics,-0.371,0.251
20,R_Trunk_Lat_Tilt,Kinematics,-0.292,0.268
21,R_Trunk_Lat_Tilt,Kinematics,-0.228,0.287
22,R_Trunk_Lat_Tilt,Kinematics,-0.179,0.311
23,R_Trunk_Lat_Tilt,Kinematics,-0.144,0.33
24,R_Trunk_Lat_Tilt,Kinematics,-0.117,0.347
25,R_Trunk_Lat_Tilt,Kinematics,-0.094,0.364
26,R_Trunk_Lat_Tilt,Kinematics,-0.068,0.378
27,R_Trunk_Lat_Tilt,Kinematics,-0.034,0.394
28,R_Trunk_Lat_Tilt,Kinematics,0.011,0.405
29,R_Trunk_Lat_Tilt,Kinematics,0.073,0.418
30,R_Trunk_Lat_Tilt,Kinematics,0.147,0.43
31,R_Trunk_Lat_Tilt,Kinematics,0.236,0.436
32,R_Trunk_Lat_Tilt,Kinematics,0.336,0.441
33,R_Trunk_Lat_Tilt,Kinematics,0.444,0.443
34,R_Trunk_Lat_Tilt,Kinematics,0.559,0.441
35,R_Trunk_Lat_Tilt,Kinematics,0.676,0.436
36,R_Trunk_Lat_Tilt,Kinematics,0.792,0.43
37,R_Trunk_Lat_Tilt,Kinematics,0.905,0.423
38,R_Trunk_Lat_Tilt,Kinematics,1.012,0.413
39,R_Trunk_Lat_Tilt,Kinematics,1.115,0.404
40,R_Trunk_Lat_Tilt,Kinematics,1.211,0.395
41,R_Trunk_Lat_Tilt,Kinematics,1.304,0.389
42,R_Trunk_Lat_Tilt,Kinematics,1.391,0.386
43,R_Trunk_Lat_Tilt,Kinematics,1.475,0.384
44,R_Trunk_Lat_Tilt,Kinematics,1.558,0.386
45,R_Trunk_Lat_Tilt,Kinematics,1.641,0.389
46,R_Trunk_Lat_Tilt,Kinematics,1.728,0.393
47,R_Trunk_Lat_Tilt,Kinematics,1.819,0.399
48,R_Trunk_Lat_Tilt,Kinematics,1.917,0.406
49,R_Trunk_Lat_Tilt,Kinematics,2.019,0.415
50,R_Trunk_Lat_Tilt,Kinematics,2.126,0.424
51,R_Trunk_Lat_Tilt,Kinematics,2.234,0.433
52,R_Trunk_Lat_Tilt,Kinematics,2.338,0.442
53,R_Trunk_Lat_Tilt,Kinematics,2.435,0.447
54,R_Trunk_Lat_Tilt,Kinematics,2.523,0.449
55,R_Trunk_Lat_Tilt,Kinematics,2.601,0.447
56,R_Trunk_Lat_Tilt,Kinematics,2.665,0.44
57,R_Trunk_Lat_Tilt,Kinematics,2.718,0.429
58,R_Trunk_Lat_Tilt,Kinematics,2.759,0.414
59,R_Trunk_Lat_Tilt,Kinematics,2.785,0.395
60,R_Trunk_Lat_Tilt,Kinematics,2.794,0.376
61,R_Trunk_Lat_Tilt,Kinematics,2.782,0.356
62,R_Trunk_Lat_Tilt,Kinematics,2.746,0.339
63,R_Trunk_Lat_Tilt,Kinematics,2.686,0.328
64,R_Trunk_Lat_Tilt,Kinematics,2.604,0.318
65,R_Trunk_Lat_Tilt,Kinematics,2.506,0.315
66,R_Trunk_Lat_Tilt,Kinematics,2.397,0.313
67,R_Trunk_Lat_Tilt,Kinematics,2.283,0.309
68,R_Trunk_Lat_Tilt,Kinematics,2.173,0.304
69,R_Trunk_Lat_Tilt,Kinematics,2.071,0.295
70,R_Trunk_Lat_Tilt,Kinematics,1.98,0.287
71,R_Trunk_Lat_Tilt,Kinematics,1.904,0.277
72,R_Trunk_Lat_Tilt,Kinematics,1.84,0.27
73,R_Trunk_Lat_Tilt,Kinematics,1.788,0.263
74,R_Trunk_Lat_Tilt,Kinematics,1.743,0.261
75,R_Trunk_Lat_Tilt,Kinematics,1.699,0.26
76,R_Trunk_Lat_Tilt,Kinematics,1.654,0.263
77,R_Trunk_Lat_Tilt,Kinematics,1.599,0.267
78,R_Trunk_Lat_Tilt,Kinematics,1.538,0.274
79,R_Trunk_Lat_Tilt,Kinematics,1.469,0.28
80,R_Trunk_Lat_Tilt,Kinematics,1.392,0.286
81,R_Trunk_Lat_Tilt,Kinematics,1.31,0.29
82,R_Trunk_Lat_Tilt,Kinematics,1.226,0.294
83,R_Trunk_Lat_Tilt,Kinematics,1.139,0.296
84,R_Trunk_Lat_Tilt,Kinematics,1.05,0.299
85,R_Trunk_Lat_Tilt,Kinematics,0.959,0.299
86,R_Trunk_Lat_Tilt,Kinematics,0.87,0.297
87,R_Trunk_Lat_Tilt,Kinematics,0.78,0.292
88,R_Trunk_Lat_Tilt,Kinematics,0.691,0.286
89,R_Trunk_Lat_Tilt,Kinematics,0.606,0.279
90,R_Trunk_Lat_Tilt,Kinematics,0.522,0.273
91,R_Trunk_Lat_Tilt,Kinematics,0.441,0.27
92,R_Trunk_Lat_Tilt,Kinematics,0.359,0.269
93,R_Trunk_Lat_Tilt,Kinematics,0.278,0.275
94,R_Trunk_Lat_Tilt,Kinematics,0.194,0.285
95,R_Trunk_Lat_Tilt,Kinematics,0.104,0.302
96,R_Trunk_Lat_Tilt,Kinematics,0.011,0.321
97,R_Trunk_Lat_Tilt,Kinematics,-0.085,0.343
98,R_Trunk_Lat_Tilt,Kinematics,-0.184,0.362
99,R_Trunk_Lat_Tilt,Kinematics,-0.28,0.377
100,R_Trunk_Lat_Tilt,Kinematics,-0.373,0.389
1,R_Pelvis_Fwd_Tilt,Kinematics,13.122,0.831
2,R_Pelvis_Fwd_Tilt,Kinematics,13.06,0.834
3,R_Pelvis_Fwd_Tilt,Kinematics,12.973,0.842
4,R_Pelvis_Fwd_Tilt,Kinematics,12.859,0.857
5,R_Pelvis_Fwd_Tilt,Kinematics,12.704,0.873
6,R_Pelvis_Fwd_Tilt,Kinematics,12.535,0.888
7,R_Pelvis_Fwd_Tilt,Kinematics,12.354,0.9
8,R_Pelvis_Fwd_Tilt,Kinematics,12.165,0.899
9,R_Pelvis_Fwd_Tilt,Kinematics,11.977,0.892
10,R_Pelvis_Fwd_Tilt,Kinematics,11.795,0.871
11,R_Pelvis_Fwd_Tilt,Kinematics,11.619,0.843
12,R_Pelvis_Fwd_Tilt,Kinematics,11.452,0.812
13,R_Pelvis_Fwd_Tilt,Kinematics,11.298,0.781
14,R_Pelvis_Fwd_Tilt,Kinematics,11.174,0.762
15,R_Pelvis_Fwd_Tilt,Kinematics,11.078,0.753
16,R_Pelvis_Fwd_Tilt,Kinematics,11.014,0.758
17,R_Pelvis_Fwd_Tilt,Kinematics,10.997,0.781
18,R_Pelvis_Fwd_Tilt,Kinematics,11.003,0.81
19,R_Pelvis_Fwd_Tilt,Kinematics,11.028,0.847
20,R_Pelvis_Fwd_Tilt,Kinematics,11.05,0.88
21,R_Pelvis_Fwd_Tilt,Kinematics,11.056,0.907
22,R_Pelvis_Fwd_Tilt,Kinematics,11.032,0.923
23,R_Pelvis_Fwd_Tilt,Kinematics,10.959,0.922
24,R_Pelvis_Fwd_Tilt,Kinematics,10.849,0.912
