Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,-2.756,0.584
2,R_Trunk_Fwd_Tilt,Kinematics,-2.789,0.538
3,R_Trunk_Fwd_Tilt,Kinematics,-2.841,0.494
4,R_Trunk_Fwd_Tilt,Kinematics,-2.913,0.452
5,R_Trunk_Fwd_Tilt,Kinematics,-3.018,0.411
6,R_Trunk_Fwd_Tilt,Kinematics,-3.156,0.371
7,R_Trunk_Fwd_Tilt,Kinematics,-3.319,0.333
8,R_Trunk_Fwd_Tilt,Kinematics,-3.509,0.3
9,R_Trunk_Fwd_Tilt,Kinematics,-3.726,0.278
10,R_Trunk_Fwd_Tilt,Kinematics,-3.955,0.268
11,R_Trunk_Fwd_Tilt,Kinematics,-4.191,0.274
12,R_Trunk_Fwd_Tilt,Kinematics,-4.426,0.294
13,R_Trunk_Fwd_Tilt,Kinematics,-4.647,0.322
14,R_Trunk_Fwd_Tilt,Kinematics,-4.851,0.353
15,R_Trunk_Fwd_Tilt,Kinematics,-5.025,0.383
16,R_Trunk_Fwd_Tilt,Kinematics,-5.153,0.405
17,R_Trunk_Fwd_Tilt,Kinematics,-5.245,0.423
18,R_Trunk_Fwd_Tilt,Kinematics,-5.297,0.439
19,R_Trunk_Fwd_Tilt,Kinematics,-5.295,0.441
20,R_Trunk_Fwd_Tilt,Kinematics,-5.26,0.442
21,R_Trunk_Fwd_Tilt,Kinematics,-5.2,0.439
22,R_Trunk_Fwd_Tilt,Kinematics,-5.121,0.43
23,R_Trunk_Fwd_Tilt,Kinematics,-5.039,0.421
24,R_Trunk_Fwd_Tilt,Kinematics,-4.963,0.413
25,R_Trunk_Fwd_Tilt,Kinematics,-4.902,0.406
26,R_Trunk_Fwd_Tilt,Kinematics,-4.865,0.407
27,R_Trunk_Fwd_Tilt,Kinematics,-4.847,0.409
28,R_Trunk_Fwd_Tilt,Kinematics,-4.845,0.412
29,R_Trunk_Fwd_Tilt,Kinematics,-4.855,0.415
30,R_Trunk_Fwd_Tilt,Kinematics,-4.864,0.41
31,R_Trunk_Fwd_Tilt,Kinematics,-4.866,0.403
32,R_Trunk_Fwd_Tilt,Kinematics,-4.853,0.391
33,R_Trunk_Fwd_Tilt,Kinematics,-4.815,0.372
34,R_Trunk_Fwd_Tilt,Kinematics,-4.752,0.356
35,R_Trunk_Fwd_Tilt,Kinematics,-4.664,0.34
36,R_Trunk_Fwd_Tilt,Kinematics,-4.544,0.319
37,R_Trunk_Fwd_Tilt,Kinematics,-4.403,0.299
38,R_Trunk_Fwd_Tilt,Kinematics,-4.247,0.28
39,R_Trunk_Fwd_Tilt,Kinematics,-4.08,0.26
40,R_Trunk_Fwd_Tilt,Kinematics,-3.913,0.248
41,R_Trunk_Fwd_Tilt,Kinematics,-3.755,0.243
42,R_Trunk_Fwd_Tilt,Kinematics,-3.61,0.249
43,R_Trunk_Fwd_Tilt,Kinematics,-3.49,0.265
44,R_Trunk_Fwd_Tilt,Kinematics,-3.39,0.285
45,R_Trunk_Fwd_Tilt,Kinematics,-3.311,0.309
46,R_Trunk_Fwd_Tilt,Kinematics,-3.255,0.329
47,R_Trunk_Fwd_Tilt,Kinematics,-3.215,0.345
48,R_Trunk_Fwd_Tilt,Kinematics,-3.189,0.361
49,R_Trunk_Fwd_Tilt,Kinematics,-3.175,0.376
50,R_Trunk_Fwd_Tilt,Kinematics,-3.174,0.39
51,R_Trunk_Fwd_Tilt,Kinematics,-3.188,0.412
52,R_Trunk_Fwd_Tilt,Kinematics,-3.223,0.443
53,R_Trunk_Fwd_Tilt,Kinematics,-3.286,0.48
54,R_Trunk_Fwd_Tilt,Kinematics,-3.378,0.523
55,R_Trunk_Fwd_Tilt,Kinematics,-3.506,0.575
56,R_Trunk_Fwd_Tilt,Kinematics,-3.669,0.626
57,R_Trunk_Fwd_Tilt,Kinematics,-3.867,0.674
58,R_Trunk_Fwd_Tilt,Kinematics,-4.094,0.723
59,R_Trunk_Fwd_Tilt,Kinematics,-4.341,0.765
60,R_Trunk_Fwd_Tilt,Kinematics,-4.609,0.798
61,R_Trunk_Fwd_Tilt,Kinematics,-4.879,0.823
62,R_Trunk_Fwd_Tilt,Kinematics,-5.142,0.839
63,R_Trunk_Fwd_Tilt,Kinematics,-5.39,0.847
64,R_Trunk_Fwd_Tilt,Kinematics,-5.607,0.848
65,R_Trunk_Fwd_Tilt,Kinematics,-5.785,0.838
66,R_Trunk_Fwd_Tilt,Kinematics,-5.921,0.827
67,R_Trunk_Fwd_Tilt,Kinematics,-5.996,0.817
68,R_Trunk_Fwd_Tilt,Kinematics,-6.02,0.794
69,R_Trunk_Fwd_Tilt,Kinematics,-5.998,0.773
70,R_Trunk_Fwd_Tilt,Kinematics,-5.927,0.751
71,R_Trunk_Fwd_Tilt,Kinematics,-5.821,0.724
72,R_Trunk_Fwd_Tilt,Kinematics,-5.694,0.696
73,R_Trunk_Fwd_Tilt,Kinematics,-5.552,0.67
74,R_Trunk_Fwd_Tilt,Kinematics,-5.408,0.644
75,R_Trunk_Fwd_Tilt,Kinematics,-5.274,0.623
76,R_Trunk_Fwd_Tilt,Kinematics,-5.155,0.605
77,R_Trunk_Fwd_Tilt,Kinematics,-5.063,0.588
78,R_Trunk_Fwd_Tilt,Kinematics,-4.998,0.579
79,R_Trunk_Fwd_Tilt,Kinematics,-4.952,0.574
80,R_Trunk_Fwd_Tilt,Kinematics,-4.928,0.571
81,R_Trunk_Fwd_Tilt,Kinematics,-4.915,0.573
82,R_Trunk_Fwd_Tilt,Kinematics,-4.903,0.577
83,R_Trunk_Fwd_Tilt,Kinematics,-4.888,0.582
84,R_Trunk_Fwd_Tilt,Kinematics,-4.856,0.587
85,R_Trunk_Fwd_Tilt,Kinematics,-4.804,0.588
86,R_Trunk_Fwd_Tilt,Kinematics,-4.734,0.586
87,R_Trunk_Fwd_Tilt,Kinematics,-4.636,0.582
88,R_Trunk_Fwd_Tilt,Kinematics,-4.515,0.572
89,R_Trunk_Fwd_Tilt,Kinematics,-4.38,0.561
90,R_Trunk_Fwd_Tilt,Kinematics,-4.232,0.549
91,R_Trunk_Fwd_Tilt,Kinematics,-4.077,0.538
92,R_Trunk_Fwd_Tilt,Kinematics,-3.923,0.527
93,R_Trunk_Fwd_Tilt,Kinematics,-3.773,0.518
94,R_Trunk_Fwd_Tilt,Kinematics,-3.638,0.507
95,R_Trunk_Fwd_Tilt,Kinematics,-3.518,0.497
96,R_Trunk_Fwd_Tilt,Kinematics,-3.411,0.485
97,R_Trunk_Fwd_Tilt,Kinematics,-3.321,0.47
98,R_Trunk_Fwd_Tilt,Kinematics,-3.247,0.455
99,R_Trunk_Fwd_Tilt,Kinematics,-3.184,0.439
100,R_Trunk_Fwd_Tilt,Kinematics,-3.13,0.424
1,R_Trunk_Lat_Tilt,Kinematics,-1.485,0.334
2,R_Trunk_Lat_Tilt,Kinematics,-1.649,0.319
3,R_Trunk_Lat_Tilt,Kinematics,-1.813,0.304
4,R_Trunk_Lat_Tilt,Kinematics,-1.975,0.291
5,R_Trunk_Lat_Tilt,Kinematics,-2.129,0.282
6,R_Trunk_Lat_Tilt,Kinematics,-2.268,0.278
7,R_Trunk_Lat_Tilt,Kinematics,-2.394,0.28
8,R_Trunk_Lat_Tilt,Kinematics,-2.502,0.287
9,R_Trunk_Lat_Tilt,Kinematics,-2.582,0.3
10,R_Trunk_Lat_Tilt,Kinematics,-2.642,0.317
11,R_Trunk_Lat_Tilt,Kinematics,-2.681,0.336
12,R_Trunk_Lat_Tilt,Kinematics,-2.686,0.355
13,R_Trunk_Lat_Tilt,Kinematics,-2.666,0.371
14,R_Trunk_Lat_Tilt,Kinematics,-2.626,0.382
15,R_Trunk_Lat_Tilt,Kinematics,-2.565,0.387
16,R_Trunk_Lat_Tilt,Kinematics,-2.487,0.382
17,R_Trunk_Lat_Tilt,Kinematics,-2.404,0.372
18,R_Trunk_Lat_Tilt,Kinematics,-2.32,0.356
19,R_Trunk_Lat_Tilt,Kinematics,-2.244,0.339
20,R_Trunk_Lat_Tilt,Kinematics,-2.18,0.324
21,R_Trunk_Lat_Tilt,Kinematics,-2.128,0.311
22,R_Trunk_Lat_Tilt,Kinematics,-2.091,0.301
23,R_Trunk_Lat_Tilt,Kinematics,-2.067,0.294
24,R_Trunk_Lat_Tilt,Kinematics,-2.049,0.288
25,R_Trunk_Lat_Tilt,Kinematics,-2.035,0.283
26,R_Trunk_Lat_Tilt,Kinematics,-2.02,0.279
27,R_Trunk_Lat_Tilt,Kinematics,-1.996,0.276
28,R_Trunk_Lat_Tilt,Kinematics,-1.962,0.275
29,R_Trunk_Lat_Tilt,Kinematics,-1.909,0.274
30,R_Trunk_Lat_Tilt,Kinematics,-1.836,0.273
31,R_Trunk_Lat_Tilt,Kinematics,-1.748,0.274
32,R_Trunk_Lat_Tilt,Kinematics,-1.643,0.275
33,R_Trunk_Lat_Tilt,Kinematics,-1.527,0.277
34,R_Trunk_Lat_Tilt,Kinematics,-1.406,0.284
35,R_Trunk_Lat_Tilt,Kinematics,-1.283,0.293
36,R_Trunk_Lat_Tilt,Kinematics,-1.165,0.307
37,R_Trunk_Lat_Tilt,Kinematics,-1.054,0.323
38,R_Trunk_Lat_Tilt,Kinematics,-0.95,0.339
39,R_Trunk_Lat_Tilt,Kinematics,-0.853,0.357
40,R_Trunk_Lat_Tilt,Kinematics,-0.763,0.374
41,R_Trunk_Lat_Tilt,Kinematics,-0.675,0.386
42,R_Trunk_Lat_Tilt,Kinematics,-0.589,0.395
43,R_Trunk_Lat_Tilt,Kinematics,-0.5,0.396
44,R_Trunk_Lat_Tilt,Kinematics,-0.407,0.391
45,R_Trunk_Lat_Tilt,Kinematics,-0.309,0.383
46,R_Trunk_Lat_Tilt,Kinematics,-0.201,0.369
47,R_Trunk_Lat_Tilt,Kinematics,-0.083,0.352
48,R_Trunk_Lat_Tilt,Kinematics,0.049,0.337
49,R_Trunk_Lat_Tilt,Kinematics,0.193,0.321
50,R_Trunk_Lat_Tilt,Kinematics,0.35,0.307
51,R_Trunk_Lat_Tilt,Kinematics,0.515,0.295
52,R_Trunk_Lat_Tilt,Kinematics,0.688,0.28
53,R_Trunk_Lat_Tilt,Kinematics,0.863,0.266
54,R_Trunk_Lat_Tilt,Kinematics,1.035,0.249
55,R_Trunk_Lat_Tilt,Kinematics,1.204,0.229
56,R_Trunk_Lat_Tilt,Kinematics,1.366,0.212
57,R_Trunk_Lat_Tilt,Kinematics,1.516,0.201
58,R_Trunk_Lat_Tilt,Kinematics,1.654,0.2
59,R_Trunk_Lat_Tilt,Kinematics,1.778,0.211
60,R_Trunk_Lat_Tilt,Kinematics,1.877,0.232
61,R_Trunk_Lat_Tilt,Kinematics,1.95,0.26
62,R_Trunk_Lat_Tilt,Kinematics,1.993,0.287
63,R_Trunk_Lat_Tilt,Kinematics,1.999,0.315
64,R_Trunk_Lat_Tilt,Kinematics,1.967,0.34
65,R_Trunk_Lat_Tilt,Kinematics,1.902,0.356
66,R_Trunk_Lat_Tilt,Kinematics,1.808,0.369
67,R_Trunk_Lat_Tilt,Kinematics,1.692,0.376
68,R_Trunk_Lat_Tilt,Kinematics,1.565,0.374
69,R_Trunk_Lat_Tilt,Kinematics,1.437,0.37
70,R_Trunk_Lat_Tilt,Kinematics,1.318,0.362
71,R_Trunk_Lat_Tilt,Kinematics,1.217,0.353
72,R_Trunk_Lat_Tilt,Kinematics,1.136,0.346
