Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,-2.459,0.543
2,R_Trunk_Fwd_Tilt,Kinematics,-2.474,0.567
3,R_Trunk_Fwd_Tilt,Kinematics,-2.535,0.597
4,R_Trunk_Fwd_Tilt,Kinematics,-2.641,0.63
5,R_Trunk_Fwd_Tilt,Kinematics,-2.792,0.663
6,R_Trunk_Fwd_Tilt,Kinematics,-2.983,0.691
7,R_Trunk_Fwd_Tilt,Kinematics,-3.202,0.716
8,R_Trunk_Fwd_Tilt,Kinematics,-3.438,0.734
9,R_Trunk_Fwd_Tilt,Kinematics,-3.678,0.744
10,R_Trunk_Fwd_Tilt,Kinematics,-3.913,0.745
11,R_Trunk_Fwd_Tilt,Kinematics,-4.129,0.739
12,R_Trunk_Fwd_Tilt,Kinematics,-4.318,0.724
13,R_Trunk_Fwd_Tilt,Kinematics,-4.476,0.704
14,R_Trunk_Fwd_Tilt,Kinematics,-4.599,0.684
15,R_Trunk_Fwd_Tilt,Kinematics,-4.69,0.665
16,R_Trunk_Fwd_Tilt,Kinematics,-4.753,0.648
17,R_Trunk_Fwd_Tilt,Kinematics,-4.796,0.636
18,R_Trunk_Fwd_Tilt,Kinematics,-4.827,0.63
19,R_Trunk_Fwd_Tilt,Kinematics,-4.856,0.627
20,R_Trunk_Fwd_Tilt,Kinematics,-4.887,0.628
21,R_Trunk_Fwd_Tilt,Kinematics,-4.926,0.631
22,R_Trunk_Fwd_Tilt,Kinematics,-4.971,0.633
23,R_Trunk_Fwd_Tilt,Kinematics,-5.021,0.635
24,R_Trunk_Fwd_Tilt,Kinematics,-5.073,0.636
25,R_Trunk_Fwd_Tilt,Kinematics,-5.123,0.637
26,R_Trunk_Fwd_Tilt,Kinematics,-5.166,0.638
27,R_Trunk_Fwd_Tilt,Kinematics,-5.198,0.64
28,R_Trunk_Fwd_Tilt,Kinematics,-5.216,0.644
29,R_Trunk_Fwd_Tilt,Kinematics,-5.217,0.649
30,R_Trunk_Fwd_Tilt,Kinematics,-5.198,0.653
31,R_Trunk_Fwd_Tilt,Kinematics,-5.161,0.656
32,R_Trunk_Fwd_Tilt,Kinematics,-5.105,0.655
33,R_Trunk_Fwd_Tilt,Kinematics,-5.032,0.652
34,R_Trunk_Fwd_Tilt,Kinematics,-4.942,0.646
35,R_Trunk_Fwd_Tilt,Kinematics,-4.839,0.64
36,R_Trunk_Fwd_Tilt,Kinematics,-4.723,0.633
37,R_Trunk_Fwd_Tilt,Kinematics,-4.595,0.626
38,R_Trunk_Fwd_Tilt,Kinematics,-4.458,0.621
39,R_Trunk_Fwd_Tilt,Kinematics,-4.316,0.618
40,R_Trunk_Fwd_Tilt,Kinematics,-4.172,0.618
41,R_Trunk_Fwd_Tilt,Kinematics,-4.03,0.62
42,R_Trunk_Fwd_Tilt,Kinematics,-3.896,0.625
43,R_Trunk_Fwd_Tilt,Kinematics,-3.77,0.63
44,R_Trunk_Fwd_Tilt,Kinematics,-3.657,0.634
45,R_Trunk_Fwd_Tilt,Kinematics,-3.556,0.636
46,R_Trunk_Fwd_Tilt,Kinematics,-3.469,0.638
47,R_Trunk_Fwd_Tilt,Kinematics,-3.397,0.64
48,R_Trunk_Fwd_Tilt,Kinematics,-3.337,0.645
49,R_Trunk_Fwd_Tilt,Kinematics,-3.295,0.655
50,R_Trunk_Fwd_Tilt,Kinematics,-3.275,0.67
51,R_Trunk_Fwd_Tilt,Kinematics,-3.285,0.693
52,R_Trunk_Fwd_Tilt,Kinematics,-3.333,0.724
53,R_Trunk_Fwd_Tilt,Kinematics,-3.426,0.762
54,R_Trunk_Fwd_Tilt,Kinematics,-3.564,0.806
55,R_Trunk_Fwd_Tilt,Kinematics,-3.744,0.854
56,R_Trunk_Fwd_Tilt,Kinematics,-3.96,0.903
57,R_Trunk_Fwd_Tilt,Kinematics,-4.197,0.948
58,R_Trunk_Fwd_Tilt,Kinematics,-4.439,0.988
59,R_Trunk_Fwd_Tilt,Kinematics,-4.675,1.022
60,R_Trunk_Fwd_Tilt,Kinematics,-4.889,1.048
61,R_Trunk_Fwd_Tilt,Kinematics,-5.071,1.068
62,R_Trunk_Fwd_Tilt,Kinematics,-5.214,1.08
63,R_Trunk_Fwd_Tilt,Kinematics,-5.318,1.086
64,R_Trunk_Fwd_Tilt,Kinematics,-5.384,1.084
65,R_Trunk_Fwd_Tilt,Kinematics,-5.412,1.077
66,R_Trunk_Fwd_Tilt,Kinematics,-5.413,1.065
67,R_Trunk_Fwd_Tilt,Kinematics,-5.393,1.05
68,R_Trunk_Fwd_Tilt,Kinematics,-5.359,1.033
69,R_Trunk_Fwd_Tilt,Kinematics,-5.318,1.015
70,R_Trunk_Fwd_Tilt,Kinematics,-5.277,0.997
71,R_Trunk_Fwd_Tilt,Kinematics,-5.24,0.979
72,R_Trunk_Fwd_Tilt,Kinematics,-5.209,0.963
73,R_Trunk_Fwd_Tilt,Kinematics,-5.185,0.948
74,R_Trunk_Fwd_Tilt,Kinematics,-5.166,0.934
75,R_Trunk_Fwd_Tilt,Kinematics,-5.149,0.922
76,R_Trunk_Fwd_Tilt,Kinematics,-5.131,0.912
77,R_Trunk_Fwd_Tilt,Kinematics,-5.11,0.904
78,R_Trunk_Fwd_Tilt,Kinematics,-5.081,0.896
79,R_Trunk_Fwd_Tilt,Kinematics,-5.041,0.889
80,R_Trunk_Fwd_Tilt,Kinematics,-4.989,0.882
81,R_Trunk_Fwd_Tilt,Kinematics,-4.922,0.874
82,R_Trunk_Fwd_Tilt,Kinematics,-4.84,0.865
83,R_Trunk_Fwd_Tilt,Kinematics,-4.742,0.856
84,R_Trunk_Fwd_Tilt,Kinematics,-4.629,0.842
85,R_Trunk_Fwd_Tilt,Kinematics,-4.502,0.826
86,R_Trunk_Fwd_Tilt,Kinematics,-4.364,0.808
87,R_Trunk_Fwd_Tilt,Kinematics,-4.214,0.788
88,R_Trunk_Fwd_Tilt,Kinematics,-4.058,0.769
89,R_Trunk_Fwd_Tilt,Kinematics,-3.898,0.752
90,R_Trunk_Fwd_Tilt,Kinematics,-3.739,0.736
91,R_Trunk_Fwd_Tilt,Kinematics,-3.583,0.723
92,R_Trunk_Fwd_Tilt,Kinematics,-3.433,0.712
93,R_Trunk_Fwd_Tilt,Kinematics,-3.292,0.701
94,R_Trunk_Fwd_Tilt,Kinematics,-3.161,0.69
95,R_Trunk_Fwd_Tilt,Kinematics,-3.04,0.681
96,R_Trunk_Fwd_Tilt,Kinematics,-2.931,0.673
97,R_Trunk_Fwd_Tilt,Kinematics,-2.834,0.669
98,R_Trunk_Fwd_Tilt,Kinematics,-2.752,0.671
99,R_Trunk_Fwd_Tilt,Kinematics,-2.688,0.682
100,R_Trunk_Fwd_Tilt,Kinematics,-2.65,0.704
1,R_Trunk_Lat_Tilt,Kinematics,-0.955,0.296
2,R_Trunk_Lat_Tilt,Kinematics,-1.063,0.295
3,R_Trunk_Lat_Tilt,Kinematics,-1.157,0.293
4,R_Trunk_Lat_Tilt,Kinematics,-1.234,0.293
5,R_Trunk_Lat_Tilt,Kinematics,-1.297,0.294
6,R_Trunk_Lat_Tilt,Kinematics,-1.347,0.297
7,R_Trunk_Lat_Tilt,Kinematics,-1.385,0.3
8,R_Trunk_Lat_Tilt,Kinematics,-1.413,0.304
9,R_Trunk_Lat_Tilt,Kinematics,-1.429,0.308
10,R_Trunk_Lat_Tilt,Kinematics,-1.43,0.313
11,R_Trunk_Lat_Tilt,Kinematics,-1.416,0.32
12,R_Trunk_Lat_Tilt,Kinematics,-1.388,0.328
13,R_Trunk_Lat_Tilt,Kinematics,-1.351,0.336
14,R_Trunk_Lat_Tilt,Kinematics,-1.309,0.345
15,R_Trunk_Lat_Tilt,Kinematics,-1.267,0.351
16,R_Trunk_Lat_Tilt,Kinematics,-1.227,0.357
17,R_Trunk_Lat_Tilt,Kinematics,-1.191,0.361
18,R_Trunk_Lat_Tilt,Kinematics,-1.157,0.365
19,R_Trunk_Lat_Tilt,Kinematics,-1.124,0.368
20,R_Trunk_Lat_Tilt,Kinematics,-1.09,0.372
21,R_Trunk_Lat_Tilt,Kinematics,-1.054,0.378
22,R_Trunk_Lat_Tilt,Kinematics,-1.016,0.383
23,R_Trunk_Lat_Tilt,Kinematics,-0.979,0.388
24,R_Trunk_Lat_Tilt,Kinematics,-0.942,0.391
25,R_Trunk_Lat_Tilt,Kinematics,-0.908,0.392
26,R_Trunk_Lat_Tilt,Kinematics,-0.876,0.391
27,R_Trunk_Lat_Tilt,Kinematics,-0.848,0.389
28,R_Trunk_Lat_Tilt,Kinematics,-0.825,0.386
29,R_Trunk_Lat_Tilt,Kinematics,-0.807,0.382
30,R_Trunk_Lat_Tilt,Kinematics,-0.793,0.378
31,R_Trunk_Lat_Tilt,Kinematics,-0.78,0.375
32,R_Trunk_Lat_Tilt,Kinematics,-0.766,0.373
33,R_Trunk_Lat_Tilt,Kinematics,-0.748,0.373
34,R_Trunk_Lat_Tilt,Kinematics,-0.724,0.374
35,R_Trunk_Lat_Tilt,Kinematics,-0.693,0.378
36,R_Trunk_Lat_Tilt,Kinematics,-0.654,0.383
37,R_Trunk_Lat_Tilt,Kinematics,-0.609,0.389
38,R_Trunk_Lat_Tilt,Kinematics,-0.558,0.395
39,R_Trunk_Lat_Tilt,Kinematics,-0.503,0.401
40,R_Trunk_Lat_Tilt,Kinematics,-0.446,0.406
41,R_Trunk_Lat_Tilt,Kinematics,-0.389,0.41
42,R_Trunk_Lat_Tilt,Kinematics,-0.332,0.413
43,R_Trunk_Lat_Tilt,Kinematics,-0.274,0.416
44,R_Trunk_Lat_Tilt,Kinematics,-0.214,0.419
45,R_Trunk_Lat_Tilt,Kinematics,-0.148,0.423
46,R_Trunk_Lat_Tilt,Kinematics,-0.074,0.427
47,R_Trunk_Lat_Tilt,Kinematics,0.013,0.43
48,R_Trunk_Lat_Tilt,Kinematics,0.112,0.433
49,R_Trunk_Lat_Tilt,Kinematics,0.222,0.436
50,R_Trunk_Lat_Tilt,Kinematics,0.339,0.437
51,R_Trunk_Lat_Tilt,Kinematics,0.457,0.437
52,R_Trunk_Lat_Tilt,Kinematics,0.567,0.436
53,R_Trunk_Lat_Tilt,Kinematics,0.667,0.435
54,R_Trunk_Lat_Tilt,Kinematics,0.755,0.435
55,R_Trunk_Lat_Tilt,Kinematics,0.833,0.436
56,R_Trunk_Lat_Tilt,Kinematics,0.902,0.437
57,R_Trunk_Lat_Tilt,Kinematics,0.964,0.438
58,R_Trunk_Lat_Tilt,Kinematics,1.019,0.439
59,R_Trunk_Lat_Tilt,Kinematics,1.063,0.437
60,R_Trunk_Lat_Tilt,Kinematics,1.091,0.432
61,R_Trunk_Lat_Tilt,Kinematics,1.101,0.424
62,R_Trunk_Lat_Tilt,Kinematics,1.094,0.414
63,R_Trunk_Lat_Tilt,Kinematics,1.074,0.403
