Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,4.274,0.695
2,R_Trunk_Fwd_Tilt,Kinematics,4.285,0.687
3,R_Trunk_Fwd_Tilt,Kinematics,4.295,0.681
4,R_Trunk_Fwd_Tilt,Kinematics,4.301,0.68
5,R_Trunk_Fwd_Tilt,Kinematics,4.305,0.685
6,R_Trunk_Fwd_Tilt,Kinematics,4.305,0.696
7,R_Trunk_Fwd_Tilt,Kinematics,4.301,0.713
8,R_Trunk_Fwd_Tilt,Kinematics,4.293,0.733
9,R_Trunk_Fwd_Tilt,Kinematics,4.281,0.755
10,R_Trunk_Fwd_Tilt,Kinematics,4.262,0.777
11,R_Trunk_Fwd_Tilt,Kinematics,4.232,0.794
12,R_Trunk_Fwd_Tilt,Kinematics,4.188,0.807
13,R_Trunk_Fwd_Tilt,Kinematics,4.127,0.812
14,R_Trunk_Fwd_Tilt,Kinematics,4.049,0.812
15,R_Trunk_Fwd_Tilt,Kinematics,3.955,0.805
16,R_Trunk_Fwd_Tilt,Kinematics,3.849,0.796
17,R_Trunk_Fwd_Tilt,Kinematics,3.733,0.785
18,R_Trunk_Fwd_Tilt,Kinematics,3.612,0.774
19,R_Trunk_Fwd_Tilt,Kinematics,3.486,0.767
20,R_Trunk_Fwd_Tilt,Kinematics,3.357,0.761
21,R_Trunk_Fwd_Tilt,Kinematics,3.226,0.756
22,R_Trunk_Fwd_Tilt,Kinematics,3.096,0.752
23,R_Trunk_Fwd_Tilt,Kinematics,2.971,0.747
24,R_Trunk_Fwd_Tilt,Kinematics,2.856,0.743
25,R_Trunk_Fwd_Tilt,Kinematics,2.754,0.739
26,R_Trunk_Fwd_Tilt,Kinematics,2.668,0.735
27,R_Trunk_Fwd_Tilt,Kinematics,2.597,0.733
28,R_Trunk_Fwd_Tilt,Kinematics,2.544,0.73
29,R_Trunk_Fwd_Tilt,Kinematics,2.508,0.726
30,R_Trunk_Fwd_Tilt,Kinematics,2.488,0.72
31,R_Trunk_Fwd_Tilt,Kinematics,2.486,0.712
32,R_Trunk_Fwd_Tilt,Kinematics,2.501,0.703
33,R_Trunk_Fwd_Tilt,Kinematics,2.533,0.693
34,R_Trunk_Fwd_Tilt,Kinematics,2.58,0.684
35,R_Trunk_Fwd_Tilt,Kinematics,2.642,0.673
36,R_Trunk_Fwd_Tilt,Kinematics,2.718,0.662
37,R_Trunk_Fwd_Tilt,Kinematics,2.806,0.65
38,R_Trunk_Fwd_Tilt,Kinematics,2.905,0.638
39,R_Trunk_Fwd_Tilt,Kinematics,3.009,0.627
40,R_Trunk_Fwd_Tilt,Kinematics,3.113,0.618
41,R_Trunk_Fwd_Tilt,Kinematics,3.207,0.612
42,R_Trunk_Fwd_Tilt,Kinematics,3.282,0.61
43,R_Trunk_Fwd_Tilt,Kinematics,3.334,0.612
44,R_Trunk_Fwd_Tilt,Kinematics,3.361,0.618
45,R_Trunk_Fwd_Tilt,Kinematics,3.365,0.627
