Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,2.802,0.574
2,R_Trunk_Fwd_Tilt,Kinematics,2.684,0.573
3,R_Trunk_Fwd_Tilt,Kinematics,2.55,0.577
4,R_Trunk_Fwd_Tilt,Kinematics,2.396,0.587
5,R_Trunk_Fwd_Tilt,Kinematics,2.224,0.604
6,R_Trunk_Fwd_Tilt,Kinematics,2.047,0.627
7,R_Trunk_Fwd_Tilt,Kinematics,1.87,0.654
8,R_Trunk_Fwd_Tilt,Kinematics,1.703,0.687
9,R_Trunk_Fwd_Tilt,Kinematics,1.55,0.722
10,R_Trunk_Fwd_Tilt,Kinematics,1.417,0.76
11,R_Trunk_Fwd_Tilt,Kinematics,1.314,0.797
12,R_Trunk_Fwd_Tilt,Kinematics,1.238,0.829
13,R_Trunk_Fwd_Tilt,Kinematics,1.189,0.86
14,R_Trunk_Fwd_Tilt,Kinematics,1.169,0.883
15,R_Trunk_Fwd_Tilt,Kinematics,1.172,0.9
16,R_Trunk_Fwd_Tilt,Kinematics,1.194,0.909
17,R_Trunk_Fwd_Tilt,Kinematics,1.232,0.911
18,R_Trunk_Fwd_Tilt,Kinematics,1.283,0.906
19,R_Trunk_Fwd_Tilt,Kinematics,1.339,0.894
20,R_Trunk_Fwd_Tilt,Kinematics,1.398,0.877
21,R_Trunk_Fwd_Tilt,Kinematics,1.457,0.855
22,R_Trunk_Fwd_Tilt,Kinematics,1.509,0.83
23,R_Trunk_Fwd_Tilt,Kinematics,1.553,0.805
24,R_Trunk_Fwd_Tilt,Kinematics,1.587,0.779
25,R_Trunk_Fwd_Tilt,Kinematics,1.609,0.753
26,R_Trunk_Fwd_Tilt,Kinematics,1.623,0.729
27,R_Trunk_Fwd_Tilt,Kinematics,1.629,0.704
28,R_Trunk_Fwd_Tilt,Kinematics,1.63,0.678
29,R_Trunk_Fwd_Tilt,Kinematics,1.63,0.649
30,R_Trunk_Fwd_Tilt,Kinematics,1.631,0.615
31,R_Trunk_Fwd_Tilt,Kinematics,1.635,0.577
32,R_Trunk_Fwd_Tilt,Kinematics,1.645,0.534
33,R_Trunk_Fwd_Tilt,Kinematics,1.661,0.491
34,R_Trunk_Fwd_Tilt,Kinematics,1.685,0.45
35,R_Trunk_Fwd_Tilt,Kinematics,1.715,0.412
36,R_Trunk_Fwd_Tilt,Kinematics,1.751,0.382
37,R_Trunk_Fwd_Tilt,Kinematics,1.792,0.357
38,R_Trunk_Fwd_Tilt,Kinematics,1.833,0.339
39,R_Trunk_Fwd_Tilt,Kinematics,1.876,0.324
40,R_Trunk_Fwd_Tilt,Kinematics,1.915,0.311
41,R_Trunk_Fwd_Tilt,Kinematics,1.951,0.298
42,R_Trunk_Fwd_Tilt,Kinematics,1.981,0.285
43,R_Trunk_Fwd_Tilt,Kinematics,2.004,0.273
44,R_Trunk_Fwd_Tilt,Kinematics,2.019,0.263
45,R_Trunk_Fwd_Tilt,Kinematics,2.031,0.256
46,R_Trunk_Fwd_Tilt,Kinematics,2.038,0.252
47,R_Trunk_Fwd_Tilt,Kinematics,2.044,0.251
48,R_Trunk_Fwd_Tilt,Kinematics,2.047,0.253
49,R_Trunk_Fwd_Tilt,Kinematics,2.047,0.256
50,R_Trunk_Fwd_Tilt,Kinematics,2.036,0.256
51,R_Trunk_Fwd_Tilt,Kinematics,2.011,0.255
52,R_Trunk_Fwd_Tilt,Kinematics,1.97,0.254
53,R_Trunk_Fwd_Tilt,Kinematics,1.894,0.247
54,R_Trunk_Fwd_Tilt,Kinematics,1.795,0.242
55,R_Trunk_Fwd_Tilt,Kinematics,1.67,0.238
56,R_Trunk_Fwd_Tilt,Kinematics,1.515,0.236
57,R_Trunk_Fwd_Tilt,Kinematics,1.348,0.241
58,R_Trunk_Fwd_Tilt,Kinematics,1.176,0.25
59,R_Trunk_Fwd_Tilt,Kinematics,1.013,0.262
60,R_Trunk_Fwd_Tilt,Kinematics,0.873,0.27
61,R_Trunk_Fwd_Tilt,Kinematics,0.766,0.274
62,R_Trunk_Fwd_Tilt,Kinematics,0.703,0.276
63,R_Trunk_Fwd_Tilt,Kinematics,0.686,0.27
64,R_Trunk_Fwd_Tilt,Kinematics,0.715,0.27
