Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,-0.368,0.531
2,R_Trunk_Fwd_Tilt,Kinematics,-0.418,0.558
3,R_Trunk_Fwd_Tilt,Kinematics,-0.474,0.588
4,R_Trunk_Fwd_Tilt,Kinematics,-0.537,0.624
5,R_Trunk_Fwd_Tilt,Kinematics,-0.619,0.658
6,R_Trunk_Fwd_Tilt,Kinematics,-0.711,0.692
7,R_Trunk_Fwd_Tilt,Kinematics,-0.813,0.723
8,R_Trunk_Fwd_Tilt,Kinematics,-0.924,0.744
9,R_Trunk_Fwd_Tilt,Kinematics,-1.031,0.762
10,R_Trunk_Fwd_Tilt,Kinematics,-1.129,0.771
11,R_Trunk_Fwd_Tilt,Kinematics,-1.201,0.772
12,R_Trunk_Fwd_Tilt,Kinematics,-1.253,0.77
13,R_Trunk_Fwd_Tilt,Kinematics,-1.276,0.755
14,R_Trunk_Fwd_Tilt,Kinematics,-1.263,0.732
15,R_Trunk_Fwd_Tilt,Kinematics,-1.23,0.702
16,R_Trunk_Fwd_Tilt,Kinematics,-1.169,0.663
17,R_Trunk_Fwd_Tilt,Kinematics,-1.085,0.622
18,R_Trunk_Fwd_Tilt,Kinematics,-0.988,0.582
19,R_Trunk_Fwd_Tilt,Kinematics,-0.879,0.547
20,R_Trunk_Fwd_Tilt,Kinematics,-0.765,0.515
21,R_Trunk_Fwd_Tilt,Kinematics,-0.651,0.487
22,R_Trunk_Fwd_Tilt,Kinematics,-0.546,0.465
23,R_Trunk_Fwd_Tilt,Kinematics,-0.456,0.445
24,R_Trunk_Fwd_Tilt,Kinematics,-0.382,0.429
25,R_Trunk_Fwd_Tilt,Kinematics,-0.333,0.41
26,R_Trunk_Fwd_Tilt,Kinematics,-0.308,0.393
27,R_Trunk_Fwd_Tilt,Kinematics,-0.299,0.377
28,R_Trunk_Fwd_Tilt,Kinematics,-0.307,0.356
29,R_Trunk_Fwd_Tilt,Kinematics,-0.323,0.341
30,R_Trunk_Fwd_Tilt,Kinematics,-0.34,0.327
31,R_Trunk_Fwd_Tilt,Kinematics,-0.354,0.321
32,R_Trunk_Fwd_Tilt,Kinematics,-0.359,0.32
33,R_Trunk_Fwd_Tilt,Kinematics,-0.354,0.325
34,R_Trunk_Fwd_Tilt,Kinematics,-0.334,0.338
35,R_Trunk_Fwd_Tilt,Kinematics,-0.301,0.354
36,R_Trunk_Fwd_Tilt,Kinematics,-0.259,0.374
37,R_Trunk_Fwd_Tilt,Kinematics,-0.204,0.397
38,R_Trunk_Fwd_Tilt,Kinematics,-0.147,0.421
39,R_Trunk_Fwd_Tilt,Kinematics,-0.091,0.445
40,R_Trunk_Fwd_Tilt,Kinematics,-0.04,0.464
41,R_Trunk_Fwd_Tilt,Kinematics,0,0.484
42,R_Trunk_Fwd_Tilt,Kinematics,0.027,0.502
43,R_Trunk_Fwd_Tilt,Kinematics,0.041,0.52
44,R_Trunk_Fwd_Tilt,Kinematics,0.045,0.543
45,R_Trunk_Fwd_Tilt,Kinematics,0.044,0.567
46,R_Trunk_Fwd_Tilt,Kinematics,0.037,0.591
47,R_Trunk_Fwd_Tilt,Kinematics,0.029,0.614
48,R_Trunk_Fwd_Tilt,Kinematics,0.018,0.633
49,R_Trunk_Fwd_Tilt,Kinematics,0.004,0.648
50,R_Trunk_Fwd_Tilt,Kinematics,-0.015,0.661
51,R_Trunk_Fwd_Tilt,Kinematics,-0.038,0.67
52,R_Trunk_Fwd_Tilt,Kinematics,-0.065,0.678
53,R_Trunk_Fwd_Tilt,Kinematics,-0.106,0.691
54,R_Trunk_Fwd_Tilt,Kinematics,-0.157,0.709
55,R_Trunk_Fwd_Tilt,Kinematics,-0.221,0.735
56,R_Trunk_Fwd_Tilt,Kinematics,-0.301,0.776
57,R_Trunk_Fwd_Tilt,Kinematics,-0.392,0.821
58,R_Trunk_Fwd_Tilt,Kinematics,-0.489,0.873
59,R_Trunk_Fwd_Tilt,Kinematics,-0.583,0.924
60,R_Trunk_Fwd_Tilt,Kinematics,-0.67,0.975
61,R_Trunk_Fwd_Tilt,Kinematics,-0.741,1.023
62,R_Trunk_Fwd_Tilt,Kinematics,-0.793,1.058
63,R_Trunk_Fwd_Tilt,Kinematics,-0.821,1.093
64,R_Trunk_Fwd_Tilt,Kinematics,-0.829,1.12
65,R_Trunk_Fwd_Tilt,Kinematics,-0.813,1.134
66,R_Trunk_Fwd_Tilt,Kinematics,-0.773,1.143
67,R_Trunk_Fwd_Tilt,Kinematics,-0.713,1.14
68,R_Trunk_Fwd_Tilt,Kinematics,-0.635,1.124
69,R_Trunk_Fwd_Tilt,Kinematics,-0.539,1.102
70,R_Trunk_Fwd_Tilt,Kinematics,-0.433,1.071
71,R_Trunk_Fwd_Tilt,Kinematics,-0.322,1.036
72,R_Trunk_Fwd_Tilt,Kinematics,-0.219,0.999
73,R_Trunk_Fwd_Tilt,Kinematics,-0.13,0.962
74,R_Trunk_Fwd_Tilt,Kinematics,-0.062,0.932
75,R_Trunk_Fwd_Tilt,Kinematics,-0.026,0.901
76,R_Trunk_Fwd_Tilt,Kinematics,-0.013,0.874
77,R_Trunk_Fwd_Tilt,Kinematics,-0.024,0.852
78,R_Trunk_Fwd_Tilt,Kinematics,-0.056,0.83
79,R_Trunk_Fwd_Tilt,Kinematics,-0.095,0.811
80,R_Trunk_Fwd_Tilt,Kinematics,-0.136,0.792
81,R_Trunk_Fwd_Tilt,Kinematics,-0.17,0.774
82,R_Trunk_Fwd_Tilt,Kinematics,-0.196,0.757
83,R_Trunk_Fwd_Tilt,Kinematics,-0.208,0.738
84,R_Trunk_Fwd_Tilt,Kinematics,-0.206,0.723
85,R_Trunk_Fwd_Tilt,Kinematics,-0.195,0.709
86,R_Trunk_Fwd_Tilt,Kinematics,-0.173,0.698
87,R_Trunk_Fwd_Tilt,Kinematics,-0.146,0.688
88,R_Trunk_Fwd_Tilt,Kinematics,-0.117,0.68
89,R_Trunk_Fwd_Tilt,Kinematics,-0.089,0.673
90,R_Trunk_Fwd_Tilt,Kinematics,-0.067,0.665
91,R_Trunk_Fwd_Tilt,Kinematics,-0.049,0.655
92,R_Trunk_Fwd_Tilt,Kinematics,-0.047,0.642
93,R_Trunk_Fwd_Tilt,Kinematics,-0.059,0.625
94,R_Trunk_Fwd_Tilt,Kinematics,-0.08,0.608
95,R_Trunk_Fwd_Tilt,Kinematics,-0.122,0.59
96,R_Trunk_Fwd_Tilt,Kinematics,-0.171,0.573
97,R_Trunk_Fwd_Tilt,Kinematics,-0.227,0.558
98,R_Trunk_Fwd_Tilt,Kinematics,-0.286,0.546
99,R_Trunk_Fwd_Tilt,Kinematics,-0.341,0.537
100,R_Trunk_Fwd_Tilt,Kinematics,-0.391,0.53
1,R_Trunk_Lat_Tilt,Kinematics,-1.609,0.394
2,R_Trunk_Lat_Tilt,Kinematics,-1.707,0.381
3,R_Trunk_Lat_Tilt,Kinematics,-1.804,0.362
4,R_Trunk_Lat_Tilt,Kinematics,-1.899,0.339
5,R_Trunk_Lat_Tilt,Kinematics,-1.987,0.304
6,R_Trunk_Lat_Tilt,Kinematics,-2.07,0.267
7,R_Trunk_Lat_Tilt,Kinematics,-2.145,0.23
8,R_Trunk_Lat_Tilt,Kinematics,-2.204,0.199
9,R_Trunk_Lat_Tilt,Kinematics,-2.251,0.188
10,R_Trunk_Lat_Tilt,Kinematics,-2.283,0.204
11,R_Trunk_Lat_Tilt,Kinematics,-2.286,0.241
12,R_Trunk_Lat_Tilt,Kinematics,-2.275,0.29
13,R_Trunk_Lat_Tilt,Kinematics,-2.246,0.341
14,R_Trunk_Lat_Tilt,Kinematics,-2.201,0.387
15,R_Trunk_Lat_Tilt,Kinematics,-2.153,0.428
16,R_Trunk_Lat_Tilt,Kinematics,-2.102,0.461
17,R_Trunk_Lat_Tilt,Kinematics,-2.059,0.483
18,R_Trunk_Lat_Tilt,Kinematics,-2.023,0.5
19,R_Trunk_Lat_Tilt,Kinematics,-1.998,0.51
20,R_Trunk_Lat_Tilt,Kinematics,-1.984,0.516
21,R_Trunk_Lat_Tilt,Kinematics,-1.975,0.521
22,R_Trunk_Lat_Tilt,Kinematics,-1.969,0.526
23,R_Trunk_Lat_Tilt,Kinematics,-1.96,0.532
24,R_Trunk_Lat_Tilt,Kinematics,-1.948,0.538
25,R_Trunk_Lat_Tilt,Kinematics,-1.925,0.543
26,R_Trunk_Lat_Tilt,Kinematics,-1.892,0.549
27,R_Trunk_Lat_Tilt,Kinematics,-1.85,0.556
28,R_Trunk_Lat_Tilt,Kinematics,-1.795,0.563
