Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,-2.593,0.804
2,R_Trunk_Fwd_Tilt,Kinematics,-2.793,0.805
3,R_Trunk_Fwd_Tilt,Kinematics,-3.011,0.808
4,R_Trunk_Fwd_Tilt,Kinematics,-3.259,0.811
5,R_Trunk_Fwd_Tilt,Kinematics,-3.532,0.811
6,R_Trunk_Fwd_Tilt,Kinematics,-3.815,0.809
7,R_Trunk_Fwd_Tilt,Kinematics,-4.099,0.804
8,R_Trunk_Fwd_Tilt,Kinematics,-4.37,0.801
9,R_Trunk_Fwd_Tilt,Kinematics,-4.62,0.804
10,R_Trunk_Fwd_Tilt,Kinematics,-4.819,0.813
11,R_Trunk_Fwd_Tilt,Kinematics,-4.989,0.827
12,R_Trunk_Fwd_Tilt,Kinematics,-5.093,0.853
13,R_Trunk_Fwd_Tilt,Kinematics,-5.145,0.873
14,R_Trunk_Fwd_Tilt,Kinematics,-5.155,0.897
15,R_Trunk_Fwd_Tilt,Kinematics,-5.098,0.906
16,R_Trunk_Fwd_Tilt,Kinematics,-5.011,0.907
17,R_Trunk_Fwd_Tilt,Kinematics,-4.894,0.899
18,R_Trunk_Fwd_Tilt,Kinematics,-4.759,0.882
19,R_Trunk_Fwd_Tilt,Kinematics,-4.627,0.865
20,R_Trunk_Fwd_Tilt,Kinematics,-4.519,0.849
21,R_Trunk_Fwd_Tilt,Kinematics,-4.435,0.846
22,R_Trunk_Fwd_Tilt,Kinematics,-4.39,0.847
23,R_Trunk_Fwd_Tilt,Kinematics,-4.387,0.856
24,R_Trunk_Fwd_Tilt,Kinematics,-4.408,0.871
25,R_Trunk_Fwd_Tilt,Kinematics,-4.456,0.878
26,R_Trunk_Fwd_Tilt,Kinematics,-4.515,0.884
27,R_Trunk_Fwd_Tilt,Kinematics,-4.567,0.885
28,R_Trunk_Fwd_Tilt,Kinematics,-4.605,0.881
29,R_Trunk_Fwd_Tilt,Kinematics,-4.62,0.877
30,R_Trunk_Fwd_Tilt,Kinematics,-4.6,0.871
31,R_Trunk_Fwd_Tilt,Kinematics,-4.543,0.866
32,R_Trunk_Fwd_Tilt,Kinematics,-4.445,0.862
33,R_Trunk_Fwd_Tilt,Kinematics,-4.305,0.858
34,R_Trunk_Fwd_Tilt,Kinematics,-4.132,0.851
35,R_Trunk_Fwd_Tilt,Kinematics,-3.925,0.841
36,R_Trunk_Fwd_Tilt,Kinematics,-3.696,0.828
37,R_Trunk_Fwd_Tilt,Kinematics,-3.455,0.807
38,R_Trunk_Fwd_Tilt,Kinematics,-3.213,0.787
39,R_Trunk_Fwd_Tilt,Kinematics,-2.982,0.76
40,R_Trunk_Fwd_Tilt,Kinematics,-2.773,0.735
41,R_Trunk_Fwd_Tilt,Kinematics,-2.591,0.709
42,R_Trunk_Fwd_Tilt,Kinematics,-2.445,0.686
43,R_Trunk_Fwd_Tilt,Kinematics,-2.342,0.667
44,R_Trunk_Fwd_Tilt,Kinematics,-2.274,0.652
45,R_Trunk_Fwd_Tilt,Kinematics,-2.241,0.641
46,R_Trunk_Fwd_Tilt,Kinematics,-2.238,0.63
47,R_Trunk_Fwd_Tilt,Kinematics,-2.26,0.62
48,R_Trunk_Fwd_Tilt,Kinematics,-2.306,0.607
49,R_Trunk_Fwd_Tilt,Kinematics,-2.37,0.594
50,R_Trunk_Fwd_Tilt,Kinematics,-2.452,0.582
51,R_Trunk_Fwd_Tilt,Kinematics,-2.554,0.574
