Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,1.888,0.349
2,R_Trunk_Fwd_Tilt,Kinematics,1.826,0.359
3,R_Trunk_Fwd_Tilt,Kinematics,1.753,0.375
4,R_Trunk_Fwd_Tilt,Kinematics,1.665,0.397
5,R_Trunk_Fwd_Tilt,Kinematics,1.543,0.423
6,R_Trunk_Fwd_Tilt,Kinematics,1.401,0.458
7,R_Trunk_Fwd_Tilt,Kinematics,1.235,0.494
8,R_Trunk_Fwd_Tilt,Kinematics,1.044,0.523
9,R_Trunk_Fwd_Tilt,Kinematics,0.84,0.546
10,R_Trunk_Fwd_Tilt,Kinematics,0.615,0.565
11,R_Trunk_Fwd_Tilt,Kinematics,0.384,0.588
12,R_Trunk_Fwd_Tilt,Kinematics,0.156,0.606
13,R_Trunk_Fwd_Tilt,Kinematics,-0.069,0.624
14,R_Trunk_Fwd_Tilt,Kinematics,-0.255,0.624
15,R_Trunk_Fwd_Tilt,Kinematics,-0.413,0.613
16,R_Trunk_Fwd_Tilt,Kinematics,-0.527,0.592
17,R_Trunk_Fwd_Tilt,Kinematics,-0.623,0.573
18,R_Trunk_Fwd_Tilt,Kinematics,-0.701,0.555
19,R_Trunk_Fwd_Tilt,Kinematics,-0.757,0.549
20,R_Trunk_Fwd_Tilt,Kinematics,-0.762,0.529
21,R_Trunk_Fwd_Tilt,Kinematics,-0.738,0.514
22,R_Trunk_Fwd_Tilt,Kinematics,-0.671,0.496
23,R_Trunk_Fwd_Tilt,Kinematics,-0.575,0.47
24,R_Trunk_Fwd_Tilt,Kinematics,-0.458,0.453
25,R_Trunk_Fwd_Tilt,Kinematics,-0.34,0.456
26,R_Trunk_Fwd_Tilt,Kinematics,-0.214,0.455
27,R_Trunk_Fwd_Tilt,Kinematics,-0.089,0.454
28,R_Trunk_Fwd_Tilt,Kinematics,0.023,0.467
29,R_Trunk_Fwd_Tilt,Kinematics,0.138,0.47
30,R_Trunk_Fwd_Tilt,Kinematics,0.242,0.462
31,R_Trunk_Fwd_Tilt,Kinematics,0.334,0.466
32,R_Trunk_Fwd_Tilt,Kinematics,0.43,0.464
33,R_Trunk_Fwd_Tilt,Kinematics,0.528,0.457
34,R_Trunk_Fwd_Tilt,Kinematics,0.616,0.473
35,R_Trunk_Fwd_Tilt,Kinematics,0.713,0.479
36,R_Trunk_Fwd_Tilt,Kinematics,0.825,0.479
37,R_Trunk_Fwd_Tilt,Kinematics,0.941,0.49
38,R_Trunk_Fwd_Tilt,Kinematics,1.055,0.515
39,R_Trunk_Fwd_Tilt,Kinematics,1.13,0.523
40,R_Trunk_Fwd_Tilt,Kinematics,1.244,0.544
41,R_Trunk_Fwd_Tilt,Kinematics,1.367,0.593
42,R_Trunk_Fwd_Tilt,Kinematics,1.449,0.609
43,R_Trunk_Fwd_Tilt,Kinematics,1.514,0.606
44,R_Trunk_Fwd_Tilt,Kinematics,1.564,0.598
45,R_Trunk_Fwd_Tilt,Kinematics,1.606,0.604
46,R_Trunk_Fwd_Tilt,Kinematics,1.635,0.592
47,R_Trunk_Fwd_Tilt,Kinematics,1.651,0.57
48,R_Trunk_Fwd_Tilt,Kinematics,1.66,0.542
49,R_Trunk_Fwd_Tilt,Kinematics,1.669,0.517
50,R_Trunk_Fwd_Tilt,Kinematics,1.672,0.496
51,R_Trunk_Fwd_Tilt,Kinematics,1.676,0.49
52,R_Trunk_Fwd_Tilt,Kinematics,1.645,0.463
53,R_Trunk_Fwd_Tilt,Kinematics,1.599,0.448
54,R_Trunk_Fwd_Tilt,Kinematics,1.555,0.459
55,R_Trunk_Fwd_Tilt,Kinematics,1.466,0.443
56,R_Trunk_Fwd_Tilt,Kinematics,1.347,0.435
57,R_Trunk_Fwd_Tilt,Kinematics,1.207,0.442
58,R_Trunk_Fwd_Tilt,Kinematics,1.051,0.454
59,R_Trunk_Fwd_Tilt,Kinematics,0.871,0.459
60,R_Trunk_Fwd_Tilt,Kinematics,0.671,0.462
61,R_Trunk_Fwd_Tilt,Kinematics,0.485,0.467
62,R_Trunk_Fwd_Tilt,Kinematics,0.303,0.479
63,R_Trunk_Fwd_Tilt,Kinematics,0.153,0.467
64,R_Trunk_Fwd_Tilt,Kinematics,0.033,0.44
65,R_Trunk_Fwd_Tilt,Kinematics,-0.053,0.411
66,R_Trunk_Fwd_Tilt,Kinematics,-0.15,0.421
67,R_Trunk_Fwd_Tilt,Kinematics,-0.208,0.42
68,R_Trunk_Fwd_Tilt,Kinematics,-0.23,0.412
