Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,4.262,1.66
2,R_Trunk_Fwd_Tilt,Kinematics,4.103,1.662
3,R_Trunk_Fwd_Tilt,Kinematics,3.922,1.671
4,R_Trunk_Fwd_Tilt,Kinematics,3.712,1.69
5,R_Trunk_Fwd_Tilt,Kinematics,3.471,1.723
6,R_Trunk_Fwd_Tilt,Kinematics,3.224,1.76
7,R_Trunk_Fwd_Tilt,Kinematics,2.973,1.803
8,R_Trunk_Fwd_Tilt,Kinematics,2.742,1.845
9,R_Trunk_Fwd_Tilt,Kinematics,2.53,1.883
10,R_Trunk_Fwd_Tilt,Kinematics,2.36,1.914
11,R_Trunk_Fwd_Tilt,Kinematics,2.239,1.929
12,R_Trunk_Fwd_Tilt,Kinematics,2.152,1.935
13,R_Trunk_Fwd_Tilt,Kinematics,2.116,1.925
14,R_Trunk_Fwd_Tilt,Kinematics,2.105,1.898
15,R_Trunk_Fwd_Tilt,Kinematics,2.112,1.861
16,R_Trunk_Fwd_Tilt,Kinematics,2.125,1.81
17,R_Trunk_Fwd_Tilt,Kinematics,2.134,1.752
18,R_Trunk_Fwd_Tilt,Kinematics,2.137,1.69
19,R_Trunk_Fwd_Tilt,Kinematics,2.127,1.623
20,R_Trunk_Fwd_Tilt,Kinematics,2.11,1.558
21,R_Trunk_Fwd_Tilt,Kinematics,2.086,1.492
22,R_Trunk_Fwd_Tilt,Kinematics,2.058,1.429
23,R_Trunk_Fwd_Tilt,Kinematics,2.031,1.37
24,R_Trunk_Fwd_Tilt,Kinematics,2.009,1.315
25,R_Trunk_Fwd_Tilt,Kinematics,1.994,1.267
26,R_Trunk_Fwd_Tilt,Kinematics,1.991,1.222
27,R_Trunk_Fwd_Tilt,Kinematics,1.999,1.182
28,R_Trunk_Fwd_Tilt,Kinematics,2.02,1.145
29,R_Trunk_Fwd_Tilt,Kinematics,2.058,1.11
30,R_Trunk_Fwd_Tilt,Kinematics,2.109,1.075
31,R_Trunk_Fwd_Tilt,Kinematics,2.176,1.04
32,R_Trunk_Fwd_Tilt,Kinematics,2.255,1.005
33,R_Trunk_Fwd_Tilt,Kinematics,2.346,0.969
34,R_Trunk_Fwd_Tilt,Kinematics,2.448,0.934
35,R_Trunk_Fwd_Tilt,Kinematics,2.556,0.901
36,R_Trunk_Fwd_Tilt,Kinematics,2.671,0.871
37,R_Trunk_Fwd_Tilt,Kinematics,2.792,0.845
38,R_Trunk_Fwd_Tilt,Kinematics,2.916,0.821
39,R_Trunk_Fwd_Tilt,Kinematics,3.043,0.801
40,R_Trunk_Fwd_Tilt,Kinematics,3.17,0.782
41,R_Trunk_Fwd_Tilt,Kinematics,3.293,0.764
42,R_Trunk_Fwd_Tilt,Kinematics,3.41,0.748
43,R_Trunk_Fwd_Tilt,Kinematics,3.513,0.733
44,R_Trunk_Fwd_Tilt,Kinematics,3.604,0.719
45,R_Trunk_Fwd_Tilt,Kinematics,3.676,0.706
46,R_Trunk_Fwd_Tilt,Kinematics,3.73,0.696
47,R_Trunk_Fwd_Tilt,Kinematics,3.768,0.689
48,R_Trunk_Fwd_Tilt,Kinematics,3.782,0.684
49,R_Trunk_Fwd_Tilt,Kinematics,3.774,0.682
50,R_Trunk_Fwd_Tilt,Kinematics,3.743,0.68
51,R_Trunk_Fwd_Tilt,Kinematics,3.682,0.679
52,R_Trunk_Fwd_Tilt,Kinematics,3.593,0.677
53,R_Trunk_Fwd_Tilt,Kinematics,3.477,0.675
54,R_Trunk_Fwd_Tilt,Kinematics,3.341,0.672
55,R_Trunk_Fwd_Tilt,Kinematics,3.191,0.67
56,R_Trunk_Fwd_Tilt,Kinematics,3.032,0.667
57,R_Trunk_Fwd_Tilt,Kinematics,2.876,0.666
58,R_Trunk_Fwd_Tilt,Kinematics,2.729,0.665
59,R_Trunk_Fwd_Tilt,Kinematics,2.6,0.668
60,R_Trunk_Fwd_Tilt,Kinematics,2.487,0.674
61,R_Trunk_Fwd_Tilt,Kinematics,2.397,0.685
62,R_Trunk_Fwd_Tilt,Kinematics,2.334,0.697
63,R_Trunk_Fwd_Tilt,Kinematics,2.292,0.709
