Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,-0.479,0.251
2,R_Trunk_Fwd_Tilt,Kinematics,-0.577,0.228
3,R_Trunk_Fwd_Tilt,Kinematics,-0.686,0.207
4,R_Trunk_Fwd_Tilt,Kinematics,-0.816,0.188
5,R_Trunk_Fwd_Tilt,Kinematics,-0.962,0.17
6,R_Trunk_Fwd_Tilt,Kinematics,-1.115,0.157
7,R_Trunk_Fwd_Tilt,Kinematics,-1.271,0.153
8,R_Trunk_Fwd_Tilt,Kinematics,-1.422,0.157
9,R_Trunk_Fwd_Tilt,Kinematics,-1.56,0.179
10,R_Trunk_Fwd_Tilt,Kinematics,-1.675,0.2
11,R_Trunk_Fwd_Tilt,Kinematics,-1.768,0.229
12,R_Trunk_Fwd_Tilt,Kinematics,-1.832,0.259
13,R_Trunk_Fwd_Tilt,Kinematics,-1.868,0.28
14,R_Trunk_Fwd_Tilt,Kinematics,-1.877,0.304
15,R_Trunk_Fwd_Tilt,Kinematics,-1.862,0.317
16,R_Trunk_Fwd_Tilt,Kinematics,-1.829,0.328
17,R_Trunk_Fwd_Tilt,Kinematics,-1.785,0.334
18,R_Trunk_Fwd_Tilt,Kinematics,-1.735,0.338
19,R_Trunk_Fwd_Tilt,Kinematics,-1.686,0.34
20,R_Trunk_Fwd_Tilt,Kinematics,-1.642,0.345
21,R_Trunk_Fwd_Tilt,Kinematics,-1.61,0.348
22,R_Trunk_Fwd_Tilt,Kinematics,-1.587,0.357
23,R_Trunk_Fwd_Tilt,Kinematics,-1.578,0.368
24,R_Trunk_Fwd_Tilt,Kinematics,-1.58,0.381
25,R_Trunk_Fwd_Tilt,Kinematics,-1.591,0.397
26,R_Trunk_Fwd_Tilt,Kinematics,-1.611,0.413
27,R_Trunk_Fwd_Tilt,Kinematics,-1.634,0.43
28,R_Trunk_Fwd_Tilt,Kinematics,-1.658,0.449
29,R_Trunk_Fwd_Tilt,Kinematics,-1.68,0.468
30,R_Trunk_Fwd_Tilt,Kinematics,-1.698,0.488
31,R_Trunk_Fwd_Tilt,Kinematics,-1.71,0.508
32,R_Trunk_Fwd_Tilt,Kinematics,-1.714,0.529
33,R_Trunk_Fwd_Tilt,Kinematics,-1.71,0.549
34,R_Trunk_Fwd_Tilt,Kinematics,-1.698,0.569
35,R_Trunk_Fwd_Tilt,Kinematics,-1.674,0.586
36,R_Trunk_Fwd_Tilt,Kinematics,-1.643,0.599
37,R_Trunk_Fwd_Tilt,Kinematics,-1.602,0.609
38,R_Trunk_Fwd_Tilt,Kinematics,-1.552,0.614
39,R_Trunk_Fwd_Tilt,Kinematics,-1.495,0.615
40,R_Trunk_Fwd_Tilt,Kinematics,-1.428,0.612
41,R_Trunk_Fwd_Tilt,Kinematics,-1.355,0.605
42,R_Trunk_Fwd_Tilt,Kinematics,-1.275,0.598
43,R_Trunk_Fwd_Tilt,Kinematics,-1.19,0.588
44,R_Trunk_Fwd_Tilt,Kinematics,-1.103,0.578
45,R_Trunk_Fwd_Tilt,Kinematics,-1.018,0.57
46,R_Trunk_Fwd_Tilt,Kinematics,-0.936,0.564
47,R_Trunk_Fwd_Tilt,Kinematics,-0.865,0.556
48,R_Trunk_Fwd_Tilt,Kinematics,-0.81,0.558
49,R_Trunk_Fwd_Tilt,Kinematics,-0.772,0.556
50,R_Trunk_Fwd_Tilt,Kinematics,-0.764,0.565
51,R_Trunk_Fwd_Tilt,Kinematics,-0.783,0.578
52,R_Trunk_Fwd_Tilt,Kinematics,-0.828,0.591
53,R_Trunk_Fwd_Tilt,Kinematics,-0.908,0.618
54,R_Trunk_Fwd_Tilt,Kinematics,-1.012,0.635
55,R_Trunk_Fwd_Tilt,Kinematics,-1.136,0.66
56,R_Trunk_Fwd_Tilt,Kinematics,-1.274,0.674
57,R_Trunk_Fwd_Tilt,Kinematics,-1.416,0.685
58,R_Trunk_Fwd_Tilt,Kinematics,-1.548,0.682
59,R_Trunk_Fwd_Tilt,Kinematics,-1.664,0.67
60,R_Trunk_Fwd_Tilt,Kinematics,-1.757,0.644
61,R_Trunk_Fwd_Tilt,Kinematics,-1.807,0.607
62,R_Trunk_Fwd_Tilt,Kinematics,-1.831,0.56
63,R_Trunk_Fwd_Tilt,Kinematics,-1.808,0.508
64,R_Trunk_Fwd_Tilt,Kinematics,-1.754,0.453
65,R_Trunk_Fwd_Tilt,Kinematics,-1.671,0.397
66,R_Trunk_Fwd_Tilt,Kinematics,-1.565,0.348
67,R_Trunk_Fwd_Tilt,Kinematics,-1.451,0.303
68,R_Trunk_Fwd_Tilt,Kinematics,-1.331,0.275
69,R_Trunk_Fwd_Tilt,Kinematics,-1.225,0.261
70,R_Trunk_Fwd_Tilt,Kinematics,-1.132,0.264
71,R_Trunk_Fwd_Tilt,Kinematics,-1.062,0.281
72,R_Trunk_Fwd_Tilt,Kinematics,-1.019,0.318
73,R_Trunk_Fwd_Tilt,Kinematics,-1.001,0.352
