Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,-2.423,0.829
2,R_Trunk_Fwd_Tilt,Kinematics,-2.524,0.837
3,R_Trunk_Fwd_Tilt,Kinematics,-2.649,0.847
4,R_Trunk_Fwd_Tilt,Kinematics,-2.799,0.856
5,R_Trunk_Fwd_Tilt,Kinematics,-2.991,0.868
6,R_Trunk_Fwd_Tilt,Kinematics,-3.199,0.882
7,R_Trunk_Fwd_Tilt,Kinematics,-3.423,0.898
8,R_Trunk_Fwd_Tilt,Kinematics,-3.652,0.919
9,R_Trunk_Fwd_Tilt,Kinematics,-3.87,0.941
10,R_Trunk_Fwd_Tilt,Kinematics,-4.067,0.97
11,R_Trunk_Fwd_Tilt,Kinematics,-4.217,0.998
12,R_Trunk_Fwd_Tilt,Kinematics,-4.329,1.022
13,R_Trunk_Fwd_Tilt,Kinematics,-4.389,1.054
14,R_Trunk_Fwd_Tilt,Kinematics,-4.392,1.073
15,R_Trunk_Fwd_Tilt,Kinematics,-4.359,1.087
16,R_Trunk_Fwd_Tilt,Kinematics,-4.291,1.098
17,R_Trunk_Fwd_Tilt,Kinematics,-4.201,1.095
18,R_Trunk_Fwd_Tilt,Kinematics,-4.104,1.086
19,R_Trunk_Fwd_Tilt,Kinematics,-4.015,1.065
20,R_Trunk_Fwd_Tilt,Kinematics,-3.933,1.04
21,R_Trunk_Fwd_Tilt,Kinematics,-3.862,1.014
22,R_Trunk_Fwd_Tilt,Kinematics,-3.798,0.992
23,R_Trunk_Fwd_Tilt,Kinematics,-3.737,0.976
24,R_Trunk_Fwd_Tilt,Kinematics,-3.676,0.967
25,R_Trunk_Fwd_Tilt,Kinematics,-3.607,0.961
26,R_Trunk_Fwd_Tilt,Kinematics,-3.534,0.957
27,R_Trunk_Fwd_Tilt,Kinematics,-3.449,0.955
28,R_Trunk_Fwd_Tilt,Kinematics,-3.354,0.948
29,R_Trunk_Fwd_Tilt,Kinematics,-3.251,0.942
30,R_Trunk_Fwd_Tilt,Kinematics,-3.14,0.933
31,R_Trunk_Fwd_Tilt,Kinematics,-3.024,0.924
32,R_Trunk_Fwd_Tilt,Kinematics,-2.907,0.914
33,R_Trunk_Fwd_Tilt,Kinematics,-2.791,0.902
34,R_Trunk_Fwd_Tilt,Kinematics,-2.68,0.889
35,R_Trunk_Fwd_Tilt,Kinematics,-2.574,0.872
36,R_Trunk_Fwd_Tilt,Kinematics,-2.478,0.855
37,R_Trunk_Fwd_Tilt,Kinematics,-2.391,0.838
38,R_Trunk_Fwd_Tilt,Kinematics,-2.316,0.82
39,R_Trunk_Fwd_Tilt,Kinematics,-2.257,0.802
40,R_Trunk_Fwd_Tilt,Kinematics,-2.209,0.786
41,R_Trunk_Fwd_Tilt,Kinematics,-2.175,0.768
42,R_Trunk_Fwd_Tilt,Kinematics,-2.157,0.751
43,R_Trunk_Fwd_Tilt,Kinematics,-2.149,0.735
44,R_Trunk_Fwd_Tilt,Kinematics,-2.152,0.722
45,R_Trunk_Fwd_Tilt,Kinematics,-2.168,0.711
46,R_Trunk_Fwd_Tilt,Kinematics,-2.191,0.702
47,R_Trunk_Fwd_Tilt,Kinematics,-2.224,0.694
48,R_Trunk_Fwd_Tilt,Kinematics,-2.27,0.689
49,R_Trunk_Fwd_Tilt,Kinematics,-2.328,0.683
50,R_Trunk_Fwd_Tilt,Kinematics,-2.404,0.678
51,R_Trunk_Fwd_Tilt,Kinematics,-2.502,0.674
52,R_Trunk_Fwd_Tilt,Kinematics,-2.626,0.665
53,R_Trunk_Fwd_Tilt,Kinematics,-2.779,0.659
54,R_Trunk_Fwd_Tilt,Kinematics,-2.963,0.654
55,R_Trunk_Fwd_Tilt,Kinematics,-3.175,0.649
56,R_Trunk_Fwd_Tilt,Kinematics,-3.414,0.651
57,R_Trunk_Fwd_Tilt,Kinematics,-3.669,0.658
58,R_Trunk_Fwd_Tilt,Kinematics,-3.931,0.673
59,R_Trunk_Fwd_Tilt,Kinematics,-4.181,0.697
60,R_Trunk_Fwd_Tilt,Kinematics,-4.403,0.73
61,R_Trunk_Fwd_Tilt,Kinematics,-4.594,0.771
62,R_Trunk_Fwd_Tilt,Kinematics,-4.726,0.815
63,R_Trunk_Fwd_Tilt,Kinematics,-4.804,0.864
64,R_Trunk_Fwd_Tilt,Kinematics,-4.839,0.91
65,R_Trunk_Fwd_Tilt,Kinematics,-4.822,0.949
66,R_Trunk_Fwd_Tilt,Kinematics,-4.773,0.983
67,R_Trunk_Fwd_Tilt,Kinematics,-4.703,1.011
68,R_Trunk_Fwd_Tilt,Kinematics,-4.62,1.033
69,R_Trunk_Fwd_Tilt,Kinematics,-4.536,1.054
70,R_Trunk_Fwd_Tilt,Kinematics,-4.457,1.073
71,R_Trunk_Fwd_Tilt,Kinematics,-4.393,1.092
72,R_Trunk_Fwd_Tilt,Kinematics,-4.343,1.113
73,R_Trunk_Fwd_Tilt,Kinematics,-4.309,1.133
74,R_Trunk_Fwd_Tilt,Kinematics,-4.293,1.151
75,R_Trunk_Fwd_Tilt,Kinematics,-4.285,1.17
76,R_Trunk_Fwd_Tilt,Kinematics,-4.286,1.187
77,R_Trunk_Fwd_Tilt,Kinematics,-4.286,1.203
78,R_Trunk_Fwd_Tilt,Kinematics,-4.282,1.218
79,R_Trunk_Fwd_Tilt,Kinematics,-4.27,1.231
80,R_Trunk_Fwd_Tilt,Kinematics,-4.247,1.242
81,R_Trunk_Fwd_Tilt,Kinematics,-4.214,1.249
82,R_Trunk_Fwd_Tilt,Kinematics,-4.168,1.255
83,R_Trunk_Fwd_Tilt,Kinematics,-4.111,1.259
84,R_Trunk_Fwd_Tilt,Kinematics,-4.045,1.261
85,R_Trunk_Fwd_Tilt,Kinematics,-3.969,1.264
86,R_Trunk_Fwd_Tilt,Kinematics,-3.887,1.266
87,R_Trunk_Fwd_Tilt,Kinematics,-3.8,1.269
88,R_Trunk_Fwd_Tilt,Kinematics,-3.714,1.268
89,R_Trunk_Fwd_Tilt,Kinematics,-3.632,1.264
90,R_Trunk_Fwd_Tilt,Kinematics,-3.556,1.259
91,R_Trunk_Fwd_Tilt,Kinematics,-3.49,1.245
92,R_Trunk_Fwd_Tilt,Kinematics,-3.433,1.23
93,R_Trunk_Fwd_Tilt,Kinematics,-3.39,1.213
94,R_Trunk_Fwd_Tilt,Kinematics,-3.36,1.192
95,R_Trunk_Fwd_Tilt,Kinematics,-3.339,1.172
96,R_Trunk_Fwd_Tilt,Kinematics,-3.332,1.15
97,R_Trunk_Fwd_Tilt,Kinematics,-3.336,1.13
98,R_Trunk_Fwd_Tilt,Kinematics,-3.348,1.11
99,R_Trunk_Fwd_Tilt,Kinematics,-3.381,1.092
100,R_Trunk_Fwd_Tilt,Kinematics,-3.397,1.084
1,R_Trunk_Lat_Tilt,Kinematics,-1.301,0.418
2,R_Trunk_Lat_Tilt,Kinematics,-1.328,0.43
3,R_Trunk_Lat_Tilt,Kinematics,-1.355,0.444
4,R_Trunk_Lat_Tilt,Kinematics,-1.383,0.459
5,R_Trunk_Lat_Tilt,Kinematics,-1.416,0.471
6,R_Trunk_Lat_Tilt,Kinematics,-1.453,0.485
7,R_Trunk_Lat_Tilt,Kinematics,-1.492,0.499
8,R_Trunk_Lat_Tilt,Kinematics,-1.531,0.515
9,R_Trunk_Lat_Tilt,Kinematics,-1.565,0.535
10,R_Trunk_Lat_Tilt,Kinematics,-1.594,0.56
11,R_Trunk_Lat_Tilt,Kinematics,-1.613,0.588
12,R_Trunk_Lat_Tilt,Kinematics,-1.626,0.616
13,R_Trunk_Lat_Tilt,Kinematics,-1.634,0.645
14,R_Trunk_Lat_Tilt,Kinematics,-1.638,0.671
15,R_Trunk_Lat_Tilt,Kinematics,-1.64,0.695
16,R_Trunk_Lat_Tilt,Kinematics,-1.644,0.717
17,R_Trunk_Lat_Tilt,Kinematics,-1.649,0.736
18,R_Trunk_Lat_Tilt,Kinematics,-1.657,0.755
19,R_Trunk_Lat_Tilt,Kinematics,-1.669,0.771
20,R_Trunk_Lat_Tilt,Kinematics,-1.686,0.787
21,R_Trunk_Lat_Tilt,Kinematics,-1.706,0.802
22,R_Trunk_Lat_Tilt,Kinematics,-1.736,0.813
23,R_Trunk_Lat_Tilt,Kinematics,-1.77,0.822
24,R_Trunk_Lat_Tilt,Kinematics,-1.809,0.83
25,R_Trunk_Lat_Tilt,Kinematics,-1.85,0.837
26,R_Trunk_Lat_Tilt,Kinematics,-1.888,0.844
27,R_Trunk_Lat_Tilt,Kinematics,-1.922,0.85
28,R_Trunk_Lat_Tilt,Kinematics,-1.95,0.858
29,R_Trunk_Lat_Tilt,Kinematics,-1.972,0.863
30,R_Trunk_Lat_Tilt,Kinematics,-1.986,0.867
31,R_Trunk_Lat_Tilt,Kinematics,-1.994,0.869
32,R_Trunk_Lat_Tilt,Kinematics,-1.995,0.869
33,R_Trunk_Lat_Tilt,Kinematics,-1.988,0.868
34,R_Trunk_Lat_Tilt,Kinematics,-1.976,0.866
35,R_Trunk_Lat_Tilt,Kinematics,-1.958,0.863
36,R_Trunk_Lat_Tilt,Kinematics,-1.935,0.86
37,R_Trunk_Lat_Tilt,Kinematics,-1.908,0.858
38,R_Trunk_Lat_Tilt,Kinematics,-1.876,0.855
39,R_Trunk_Lat_Tilt,Kinematics,-1.837,0.854
40,R_Trunk_Lat_Tilt,Kinematics,-1.791,0.851
41,R_Trunk_Lat_Tilt,Kinematics,-1.736,0.847
42,R_Trunk_Lat_Tilt,Kinematics,-1.665,0.845
43,R_Trunk_Lat_Tilt,Kinematics,-1.584,0.842
44,R_Trunk_Lat_Tilt,Kinematics,-1.491,0.841
45,R_Trunk_Lat_Tilt,Kinematics,-1.389,0.841
46,R_Trunk_Lat_Tilt,Kinematics,-1.282,0.842
47,R_Trunk_Lat_Tilt,Kinematics,-1.174,0.844
48,R_Trunk_Lat_Tilt,Kinematics,-1.071,0.844
49,R_Trunk_Lat_Tilt,Kinematics,-0.975,0.845
50,R_Trunk_Lat_Tilt,Kinematics,-0.888,0.843
51,R_Trunk_Lat_Tilt,Kinematics,-0.811,0.839
52,R_Trunk_Lat_Tilt,Kinematics,-0.741,0.836
53,R_Trunk_Lat_Tilt,Kinematics,-0.676,0.832
54,R_Trunk_Lat_Tilt,Kinematics,-0.614,0.829
55,R_Trunk_Lat_Tilt,Kinematics,-0.555,0.826
56,R_Trunk_Lat_Tilt,Kinematics,-0.501,0.824
57,R_Trunk_Lat_Tilt,Kinematics,-0.456,0.821
58,R_Trunk_Lat_Tilt,Kinematics,-0.421,0.82
59,R_Trunk_Lat_Tilt,Kinematics,-0.405,0.816
60,R_Trunk_Lat_Tilt,Kinematics,-0.406,0.814
61,R_Trunk_Lat_Tilt,Kinematics,-0.423,0.814
62,R_Trunk_Lat_Tilt,Kinematics,-0.458,0.812
63,R_Trunk_Lat_Tilt,Kinematics,-0.503,0.814
64,R_Trunk_Lat_Tilt,Kinematics,-0.555,0.816
65,R_Trunk_Lat_Tilt,Kinematics,-0.608,0.818
66,R_Trunk_Lat_Tilt,Kinematics,-0.655,0.819
67,R_Trunk_Lat_Tilt,Kinematics,-0.697,0.819
68,R_Trunk_Lat_Tilt,Kinematics,-0.73,0.817
69,R_Trunk_Lat_Tilt,Kinematics,-0.756,0.814
70,R_Trunk_Lat_Tilt,Kinematics,-0.777,0.811
71,R_Trunk_Lat_Tilt,Kinematics,-0.791,0.808
72,R_Trunk_Lat_Tilt,Kinematics,-0.802,0.805
73,R_Trunk_Lat_Tilt,Kinematics,-0.809,0.804
74,R_Trunk_Lat_Tilt,Kinematics,-0.813,0.801
75,R_Trunk_Lat_Tilt,Kinematics,-0.814,0.797
76,R_Trunk_Lat_Tilt,Kinematics,-0.813,0.791
77,R_Trunk_Lat_Tilt,Kinematics,-0.813,0.781
78,R_Trunk_Lat_Tilt,Kinematics,-0.812,0.768
79,R_Trunk_Lat_Tilt,Kinematics,-0.812,0.752
80,R_Trunk_Lat_Tilt,Kinematics,-0.813,0.733
81,R_Trunk_Lat_Tilt,Kinematics,-0.816,0.714
82,R_Trunk_Lat_Tilt,Kinematics,-0.822,0.693
83,R_Trunk_Lat_Tilt,Kinematics,-0.831,0.672
84,R_Trunk_Lat_Tilt,Kinematics,-0.842,0.651
85,R_Trunk_Lat_Tilt,Kinematics,-0.857,0.628
86,R_Trunk_Lat_Tilt,Kinematics,-0.874,0.604
87,R_Trunk_Lat_Tilt,Kinematics,-0.892,0.576
88,R_Trunk_Lat_Tilt,Kinematics,-0.913,0.546
89,R_Trunk_Lat_Tilt,Kinematics,-0.935,0.516
90,R_Trunk_Lat_Tilt,Kinematics,-0.962,0.49
91,R_Trunk_Lat_Tilt,Kinematics,-0.994,0.467
92,R_Trunk_Lat_Tilt,Kinematics,-1.032,0.448
93,R_Trunk_Lat_Tilt,Kinematics,-1.078,0.436
94,R_Trunk_Lat_Tilt,Kinematics,-1.13,0.426
95,R_Trunk_Lat_Tilt,Kinematics,-1.187,0.419
96,R_Trunk_Lat_Tilt,Kinematics,-1.248,0.415
97,R_Trunk_Lat_Tilt,Kinematics,-1.306,0.413
98,R_Trunk_Lat_Tilt,Kinematics,-1.362,0.414
99,R_Trunk_Lat_Tilt,Kinematics,-1.406,0.419
100,R_Trunk_Lat_Tilt,Kinematics,-1.428,0.422
1,R_Pelvis_Fwd_Tilt,Kinematics,4.081,0.769
2,R_Pelvis_Fwd_Tilt,Kinematics,3.945,0.762
3,R_Pelvis_Fwd_Tilt,Kinematics,3.789,0.762
4,R_Pelvis_Fwd_Tilt,Kinematics,3.612,0.771
5,R_Pelvis_Fwd_Tilt,Kinematics,3.402,0.786
6,R_Pelvis_Fwd_Tilt,Kinematics,3.177,0.803
7,R_Pelvis_Fwd_Tilt,Kinematics,2.935,0.822
8,R_Pelvis_Fwd_Tilt,Kinematics,2.675,0.836
9,R_Pelvis_Fwd_Tilt,Kinematics,2.414,0.846
10,R_Pelvis_Fwd_Tilt,Kinematics,2.158,0.851
11,R_Pelvis_Fwd_Tilt,Kinematics,1.936,0.847
12,R_Pelvis_Fwd_Tilt,Kinematics,1.746,0.837
13,R_Pelvis_Fwd_Tilt,Kinematics,1.609,0.825
14,R_Pelvis_Fwd_Tilt,Kinematics,1.537,0.809
15,R_Pelvis_Fwd_Tilt,Kinematics,1.509,0.794
16,R_Pelvis_Fwd_Tilt,Kinematics,1.534,0.784
17,R_Pelvis_Fwd_Tilt,Kinematics,1.59,0.782
18,R_Pelvis_Fwd_Tilt,Kinematics,1.664,0.785
19,R_Pelvis_Fwd_Tilt,Kinematics,1.735,0.797
20,R_Pelvis_Fwd_Tilt,Kinematics,1.799,0.814
21,R_Pelvis_Fwd_Tilt,Kinematics,1.851,0.834
22,R_Pelvis_Fwd_Tilt,Kinematics,1.89,0.857
23,R_Pelvis_Fwd_Tilt,Kinematics,1.922,0.877
24,R_Pelvis_Fwd_Tilt,Kinematics,1.953,0.896
25,R_Pelvis_Fwd_Tilt,Kinematics,1.992,0.909
26,R_Pelvis_Fwd_Tilt,Kinematics,2.038,0.918
27,R_Pelvis_Fwd_Tilt,Kinematics,2.099,0.923
28,R_Pelvis_Fwd_Tilt,Kinematics,2.175,0.921
29,R_Pelvis_Fwd_Tilt,Kinematics,2.262,0.917
30,R_Pelvis_Fwd_Tilt,Kinematics,2.361,0.908
31,R_Pelvis_Fwd_Tilt,Kinematics,2.464,0.896
32,R_Pelvis_Fwd_Tilt,Kinematics,2.569,0.885
33,R_Pelvis_Fwd_Tilt,Kinematics,2.674,0.873
34,R_Pelvis_Fwd_Tilt,Kinematics,2.776,0.862
35,R_Pelvis_Fwd_Tilt,Kinematics,2.879,0.852
36,R_Pelvis_Fwd_Tilt,Kinematics,2.98,0.845
37,R_Pelvis_Fwd_Tilt,Kinematics,3.081,0.838
38,R_Pelvis_Fwd_Tilt,Kinematics,3.184,0.837
39,R_Pelvis_Fwd_Tilt,Kinematics,3.287,0.84
40,R_Pelvis_Fwd_Tilt,Kinematics,3.39,0.848
41,R_Pelvis_Fwd_Tilt,Kinematics,3.491,0.863
42,R_Pelvis_Fwd_Tilt,Kinematics,3.584,0.88
43,R_Pelvis_Fwd_Tilt,Kinematics,3.666,0.901
44,R_Pelvis_Fwd_Tilt,Kinematics,3.732,0.92
45,R_Pelvis_Fwd_Tilt,Kinematics,3.776,0.936
46,R_Pelvis_Fwd_Tilt,Kinematics,3.796,0.946
47,R_Pelvis_Fwd_Tilt,Kinematics,3.791,0.947
48,R_Pelvis_Fwd_Tilt,Kinematics,3.756,0.948
49,R_Pelvis_Fwd_Tilt,Kinematics,3.692,0.938
50,R_Pelvis_Fwd_Tilt,Kinematics,3.604,0.927
51,R_Pelvis_Fwd_Tilt,Kinematics,3.504,0.91
52,R_Pelvis_Fwd_Tilt,Kinematics,3.397,0.887
53,R_Pelvis_Fwd_Tilt,Kinematics,3.298,0.862
54,R_Pelvis_Fwd_Tilt,Kinematics,3.21,0.834
55,R_Pelvis_Fwd_Tilt,Kinematics,3.132,0.812
56,R_Pelvis_Fwd_Tilt,Kinematics,3.056,0.795
57,R_Pelvis_Fwd_Tilt,Kinematics,2.97,0.788
58,R_Pelvis_Fwd_Tilt,Kinematics,2.872,0.786
59,R_Pelvis_Fwd_Tilt,Kinematics,2.748,0.788
60,R_Pelvis_Fwd_Tilt,Kinematics,2.603,0.79
61,R_Pelvis_Fwd_Tilt,Kinematics,2.445,0.793
62,R_Pelvis_Fwd_Tilt,Kinematics,2.281,0.794
63,R_Pelvis_Fwd_Tilt,Kinematics,2.129,0.801
64,R_Pelvis_Fwd_Tilt,Kinematics,1.99,0.814
65,R_Pelvis_Fwd_Tilt,Kinematics,1.881,0.832
66,R_Pelvis_Fwd_Tilt,Kinematics,1.795,0.858
67,R_Pelvis_Fwd_Tilt,Kinematics,1.732,0.889
68,R_Pelvis_Fwd_Tilt,Kinematics,1.694,0.924
69,R_Pelvis_Fwd_Tilt,Kinematics,1.67,0.961
70,R_Pelvis_Fwd_Tilt,Kinematics,1.658,0.997
71,R_Pelvis_Fwd_Tilt,Kinematics,1.649,1.031
72,R_Pelvis_Fwd_Tilt,Kinematics,1.638,1.06
73,R_Pelvis_Fwd_Tilt,Kinematics,1.62,1.086
74,R_Pelvis_Fwd_Tilt,Kinematics,1.592,1.109
75,R_Pelvis_Fwd_Tilt,Kinematics,1.561,1.132
76,R_Pelvis_Fwd_Tilt,Kinematics,1.529,1.156
77,R_Pelvis_Fwd_Tilt,Kinematics,1.505,1.188
78,R_Pelvis_Fwd_Tilt,Kinematics,1.496,1.22
79,R_Pelvis_Fwd_Tilt,Kinematics,1.51,1.255
80,R_Pelvis_Fwd_Tilt,Kinematics,1.549,1.288
81,R_Pelvis_Fwd_Tilt,Kinematics,1.612,1.314
82,R_Pelvis_Fwd_Tilt,Kinematics,1.702,1.338
83,R_Pelvis_Fwd_Tilt,Kinematics,1.812,1.354
84,R_Pelvis_Fwd_Tilt,Kinematics,1.94,1.364
85,R_Pelvis_Fwd_Tilt,Kinematics,2.088,1.373
86,R_Pelvis_Fwd_Tilt,Kinematics,2.249,1.373
87,R_Pelvis_Fwd_Tilt,Kinematics,2.426,1.367
88,R_Pelvis_Fwd_Tilt,Kinematics,2.609,1.353
89,R_Pelvis_Fwd_Tilt,Kinematics,2.795,1.333
90,R_Pelvis_Fwd_Tilt,Kinematics,2.977,1.31
91,R_Pelvis_Fwd_Tilt,Kinematics,3.14,1.282
92,R_Pelvis_Fwd_Tilt,Kinematics,3.288,1.259
93,R_Pelvis_Fwd_Tilt,Kinematics,3.4,1.242
94,R_Pelvis_Fwd_Tilt,Kinematics,3.483,1.225
95,R_Pelvis_Fwd_Tilt,Kinematics,3.54,1.214
96,R_Pelvis_Fwd_Tilt,Kinematics,3.557,1.201
97,R_Pelvis_Fwd_Tilt,Kinematics,3.552,1.183
98,R_Pelvis_Fwd_Tilt,Kinematics,3.529,1.16
99,R_Pelvis_Fwd_Tilt,Kinematics,3.471,1.121
100,R_Pelvis_Fwd_Tilt,Kinematics,3.445,1.104
1,R_Pelvis_Lat_Tilt,Kinematics,-2.43,0.39
2,R_Pelvis_Lat_Tilt,Kinematics,-2.237,0.432
3,R_Pelvis_Lat_Tilt,Kinematics,-2.01,0.481
4,R_Pelvis_Lat_Tilt,Kinematics,-1.747,0.535
5,R_Pelvis_Lat_Tilt,Kinematics,-1.441,0.584
6,R_Pelvis_Lat_Tilt,Kinematics,-1.121,0.627
7,R_Pelvis_Lat_Tilt,Kinematics,-0.788,0.666
8,R_Pelvis_Lat_Tilt,Kinematics,-0.445,0.694
9,R_Pelvis_Lat_Tilt,Kinematics,-0.103,0.717
10,R_Pelvis_Lat_Tilt,Kinematics,0.226,0.734
11,R_Pelvis_Lat_Tilt,Kinematics,0.524,0.742
12,R_Pelvis_Lat_Tilt,Kinematics,0.789,0.755
13,R_Pelvis_Lat_Tilt,Kinematics,0.996,0.762
14,R_Pelvis_Lat_Tilt,Kinematics,1.134,0.774
15,R_Pelvis_Lat_Tilt,Kinematics,1.215,0.801
16,R_Pelvis_Lat_Tilt,Kinematics,1.217,0.83
