Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,1.87,0.387
2,R_Trunk_Fwd_Tilt,Kinematics,1.901,0.393
3,R_Trunk_Fwd_Tilt,Kinematics,1.906,0.405
4,R_Trunk_Fwd_Tilt,Kinematics,1.881,0.423
5,R_Trunk_Fwd_Tilt,Kinematics,1.791,0.451
6,R_Trunk_Fwd_Tilt,Kinematics,1.663,0.486
7,R_Trunk_Fwd_Tilt,Kinematics,1.498,0.526
8,R_Trunk_Fwd_Tilt,Kinematics,1.276,0.564
9,R_Trunk_Fwd_Tilt,Kinematics,1.031,0.594
10,R_Trunk_Fwd_Tilt,Kinematics,0.767,0.619
11,R_Trunk_Fwd_Tilt,Kinematics,0.5,0.625
12,R_Trunk_Fwd_Tilt,Kinematics,0.244,0.619
13,R_Trunk_Fwd_Tilt,Kinematics,0.009,0.603
14,R_Trunk_Fwd_Tilt,Kinematics,-0.176,0.567
15,R_Trunk_Fwd_Tilt,Kinematics,-0.32,0.532
16,R_Trunk_Fwd_Tilt,Kinematics,-0.418,0.491
17,R_Trunk_Fwd_Tilt,Kinematics,-0.453,0.445
18,R_Trunk_Fwd_Tilt,Kinematics,-0.447,0.411
19,R_Trunk_Fwd_Tilt,Kinematics,-0.405,0.381
20,R_Trunk_Fwd_Tilt,Kinematics,-0.332,0.359
21,R_Trunk_Fwd_Tilt,Kinematics,-0.246,0.348
22,R_Trunk_Fwd_Tilt,Kinematics,-0.157,0.342
23,R_Trunk_Fwd_Tilt,Kinematics,-0.079,0.346
24,R_Trunk_Fwd_Tilt,Kinematics,-0.014,0.354
25,R_Trunk_Fwd_Tilt,Kinematics,0.031,0.365
26,R_Trunk_Fwd_Tilt,Kinematics,0.057,0.382
27,R_Trunk_Fwd_Tilt,Kinematics,0.07,0.396
28,R_Trunk_Fwd_Tilt,Kinematics,0.076,0.411
29,R_Trunk_Fwd_Tilt,Kinematics,0.086,0.422
30,R_Trunk_Fwd_Tilt,Kinematics,0.105,0.431
31,R_Trunk_Fwd_Tilt,Kinematics,0.143,0.436
32,R_Trunk_Fwd_Tilt,Kinematics,0.202,0.436
33,R_Trunk_Fwd_Tilt,Kinematics,0.286,0.437
34,R_Trunk_Fwd_Tilt,Kinematics,0.393,0.433
35,R_Trunk_Fwd_Tilt,Kinematics,0.516,0.426
36,R_Trunk_Fwd_Tilt,Kinematics,0.654,0.42
37,R_Trunk_Fwd_Tilt,Kinematics,0.797,0.412
38,R_Trunk_Fwd_Tilt,Kinematics,0.939,0.405
39,R_Trunk_Fwd_Tilt,Kinematics,1.073,0.395
40,R_Trunk_Fwd_Tilt,Kinematics,1.193,0.383
41,R_Trunk_Fwd_Tilt,Kinematics,1.3,0.371
42,R_Trunk_Fwd_Tilt,Kinematics,1.389,0.355
43,R_Trunk_Fwd_Tilt,Kinematics,1.461,0.338
44,R_Trunk_Fwd_Tilt,Kinematics,1.521,0.324
45,R_Trunk_Fwd_Tilt,Kinematics,1.57,0.31
46,R_Trunk_Fwd_Tilt,Kinematics,1.614,0.301
47,R_Trunk_Fwd_Tilt,Kinematics,1.655,0.296
48,R_Trunk_Fwd_Tilt,Kinematics,1.696,0.298
49,R_Trunk_Fwd_Tilt,Kinematics,1.733,0.304
50,R_Trunk_Fwd_Tilt,Kinematics,1.765,0.316
51,R_Trunk_Fwd_Tilt,Kinematics,1.785,0.33
52,R_Trunk_Fwd_Tilt,Kinematics,1.783,0.344
53,R_Trunk_Fwd_Tilt,Kinematics,1.754,0.362
54,R_Trunk_Fwd_Tilt,Kinematics,1.687,0.376
55,R_Trunk_Fwd_Tilt,Kinematics,1.574,0.388
56,R_Trunk_Fwd_Tilt,Kinematics,1.42,0.404
57,R_Trunk_Fwd_Tilt,Kinematics,1.22,0.41
58,R_Trunk_Fwd_Tilt,Kinematics,0.982,0.413
59,R_Trunk_Fwd_Tilt,Kinematics,0.718,0.413
60,R_Trunk_Fwd_Tilt,Kinematics,0.435,0.404
61,R_Trunk_Fwd_Tilt,Kinematics,0.153,0.388
62,R_Trunk_Fwd_Tilt,Kinematics,-0.118,0.365
63,R_Trunk_Fwd_Tilt,Kinematics,-0.362,0.345
64,R_Trunk_Fwd_Tilt,Kinematics,-0.564,0.328
65,R_Trunk_Fwd_Tilt,Kinematics,-0.723,0.308
66,R_Trunk_Fwd_Tilt,Kinematics,-0.828,0.315
67,R_Trunk_Fwd_Tilt,Kinematics,-0.879,0.33
68,R_Trunk_Fwd_Tilt,Kinematics,-0.885,0.343
69,R_Trunk_Fwd_Tilt,Kinematics,-0.85,0.37
70,R_Trunk_Fwd_Tilt,Kinematics,-0.784,0.39
71,R_Trunk_Fwd_Tilt,Kinematics,-0.698,0.402
72,R_Trunk_Fwd_Tilt,Kinematics,-0.606,0.412
73,R_Trunk_Fwd_Tilt,Kinematics,-0.515,0.412
74,R_Trunk_Fwd_Tilt,Kinematics,-0.436,0.41
75,R_Trunk_Fwd_Tilt,Kinematics,-0.373,0.404
76,R_Trunk_Fwd_Tilt,Kinematics,-0.328,0.395
77,R_Trunk_Fwd_Tilt,Kinematics,-0.301,0.387
78,R_Trunk_Fwd_Tilt,Kinematics,-0.285,0.38
79,R_Trunk_Fwd_Tilt,Kinematics,-0.277,0.373
80,R_Trunk_Fwd_Tilt,Kinematics,-0.27,0.367
81,R_Trunk_Fwd_Tilt,Kinematics,-0.254,0.361
82,R_Trunk_Fwd_Tilt,Kinematics,-0.228,0.356
83,R_Trunk_Fwd_Tilt,Kinematics,-0.181,0.351
84,R_Trunk_Fwd_Tilt,Kinematics,-0.116,0.347
85,R_Trunk_Fwd_Tilt,Kinematics,-0.033,0.344
86,R_Trunk_Fwd_Tilt,Kinematics,0.074,0.34
87,R_Trunk_Fwd_Tilt,Kinematics,0.194,0.336
88,R_Trunk_Fwd_Tilt,Kinematics,0.325,0.331
89,R_Trunk_Fwd_Tilt,Kinematics,0.463,0.327
90,R_Trunk_Fwd_Tilt,Kinematics,0.602,0.323
91,R_Trunk_Fwd_Tilt,Kinematics,0.74,0.319
92,R_Trunk_Fwd_Tilt,Kinematics,0.87,0.318
93,R_Trunk_Fwd_Tilt,Kinematics,0.992,0.321
94,R_Trunk_Fwd_Tilt,Kinematics,1.109,0.327
95,R_Trunk_Fwd_Tilt,Kinematics,1.214,0.339
96,R_Trunk_Fwd_Tilt,Kinematics,1.316,0.354
97,R_Trunk_Fwd_Tilt,Kinematics,1.415,0.371
98,R_Trunk_Fwd_Tilt,Kinematics,1.512,0.391
99,R_Trunk_Fwd_Tilt,Kinematics,1.606,0.411
100,R_Trunk_Fwd_Tilt,Kinematics,1.699,0.431
1,R_Trunk_Lat_Tilt,Kinematics,-0.71,0.165
2,R_Trunk_Lat_Tilt,Kinematics,-0.731,0.167
3,R_Trunk_Lat_Tilt,Kinematics,-0.748,0.169
4,R_Trunk_Lat_Tilt,Kinematics,-0.761,0.17
5,R_Trunk_Lat_Tilt,Kinematics,-0.767,0.169
6,R_Trunk_Lat_Tilt,Kinematics,-0.772,0.169
7,R_Trunk_Lat_Tilt,Kinematics,-0.775,0.168
8,R_Trunk_Lat_Tilt,Kinematics,-0.774,0.17
9,R_Trunk_Lat_Tilt,Kinematics,-0.768,0.173
10,R_Trunk_Lat_Tilt,Kinematics,-0.757,0.179
11,R_Trunk_Lat_Tilt,Kinematics,-0.733,0.189
12,R_Trunk_Lat_Tilt,Kinematics,-0.697,0.199
13,R_Trunk_Lat_Tilt,Kinematics,-0.651,0.21
14,R_Trunk_Lat_Tilt,Kinematics,-0.587,0.22
15,R_Trunk_Lat_Tilt,Kinematics,-0.514,0.225
16,R_Trunk_Lat_Tilt,Kinematics,-0.434,0.228
17,R_Trunk_Lat_Tilt,Kinematics,-0.349,0.226
18,R_Trunk_Lat_Tilt,Kinematics,-0.266,0.221
19,R_Trunk_Lat_Tilt,Kinematics,-0.186,0.214
20,R_Trunk_Lat_Tilt,Kinematics,-0.113,0.206
21,R_Trunk_Lat_Tilt,Kinematics,-0.046,0.201
22,R_Trunk_Lat_Tilt,Kinematics,0.015,0.198
23,R_Trunk_Lat_Tilt,Kinematics,0.07,0.198
24,R_Trunk_Lat_Tilt,Kinematics,0.121,0.201
25,R_Trunk_Lat_Tilt,Kinematics,0.168,0.207
26,R_Trunk_Lat_Tilt,Kinematics,0.211,0.214
27,R_Trunk_Lat_Tilt,Kinematics,0.252,0.223
28,R_Trunk_Lat_Tilt,Kinematics,0.29,0.234
29,R_Trunk_Lat_Tilt,Kinematics,0.324,0.243
30,R_Trunk_Lat_Tilt,Kinematics,0.354,0.254
31,R_Trunk_Lat_Tilt,Kinematics,0.38,0.265
32,R_Trunk_Lat_Tilt,Kinematics,0.401,0.273
