Frame,Measurement,Measure_Category,Mean,SD
1,R_Trunk_Fwd_Tilt,Kinematics,3.527,0.582
2,R_Trunk_Fwd_Tilt,Kinematics,3.506,0.622
3,R_Trunk_Fwd_Tilt,Kinematics,3.479,0.661
4,R_Trunk_Fwd_Tilt,Kinematics,3.445,0.698
5,R_Trunk_Fwd_Tilt,Kinematics,3.406,0.728
6,R_Trunk_Fwd_Tilt,Kinematics,3.365,0.751
7,R_Trunk_Fwd_Tilt,Kinematics,3.326,0.764
8,R_Trunk_Fwd_Tilt,Kinematics,3.293,0.767
9,R_Trunk_Fwd_Tilt,Kinematics,3.266,0.762
10,R_Trunk_Fwd_Tilt,Kinematics,3.248,0.749
11,R_Trunk_Fwd_Tilt,Kinematics,3.238,0.73
12,R_Trunk_Fwd_Tilt,Kinematics,3.236,0.706
13,R_Trunk_Fwd_Tilt,Kinematics,3.24,0.678
14,R_Trunk_Fwd_Tilt,Kinematics,3.25,0.648
15,R_Trunk_Fwd_Tilt,Kinematics,3.264,0.617
16,R_Trunk_Fwd_Tilt,Kinematics,3.281,0.589
17,R_Trunk_Fwd_Tilt,Kinematics,3.301,0.563
18,R_Trunk_Fwd_Tilt,Kinematics,3.326,0.539
19,R_Trunk_Fwd_Tilt,Kinematics,3.354,0.519
20,R_Trunk_Fwd_Tilt,Kinematics,3.386,0.501
21,R_Trunk_Fwd_Tilt,Kinematics,3.422,0.485
22,R_Trunk_Fwd_Tilt,Kinematics,3.459,0.472
23,R_Trunk_Fwd_Tilt,Kinematics,3.497,0.46
24,R_Trunk_Fwd_Tilt,Kinematics,3.534,0.453
25,R_Trunk_Fwd_Tilt,Kinematics,3.566,0.449
26,R_Trunk_Fwd_Tilt,Kinematics,3.593,0.45
27,R_Trunk_Fwd_Tilt,Kinematics,3.614,0.456
28,R_Trunk_Fwd_Tilt,Kinematics,3.631,0.465
29,R_Trunk_Fwd_Tilt,Kinematics,3.645,0.476
30,R_Trunk_Fwd_Tilt,Kinematics,3.657,0.489
